# Swedish-English dictionary created from English Wiktionary
# Created on: 2011-03-24T07:47:47+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Sofia'''	Sofia
ungkarl	bachelor
ungrare	Hungarian
uniform	uniform
union	union
universell	universal
universitet	university
uns	ounce
ununennium	ununennium
ununhexium	ununhexium
ununpentium	ununpentium
ununquadium	ununquadium
ununseptium	ununseptium
ununtrium	ununtrium
upp	up
uppenbara	reveal
uppfriska	refresh
upphöja	cube
upphöra	cease
uppleva	experience
uppmuntra	encourage
uppriktig	sincere
uppror	rebellion
uppskatta	appreciate
uppskjuta	postpone
uppstå	arise
upptäcka	discover
uppvisning	show
uppåt	up
urgermanska	Proto-Germanic
urin	urine
urinblåsa	bladder
urindoeuropeiska	Proto-Indo-European
urinera	urinate
ursprung	origin
ursäkta	sorry
ursäkta	excuse me
ursäkta mig	pardon me
ursäkta mig	excuse me
ursäkta?	excuse me
ut och in	inside out
utan	without
utelämnande	omission
utgåva	edition
utmärkt	excellent
utnämna	name
utomjording	extraterrestrial
utomjording	alien
utseende	look
uttal	pronunciation
uttala	pronounce
utter	otter
uttryck	expression
uttråkad	bored
uttråkning	boredom
utveckling	development
utvälja	select
va	what
vacker	pretty
vad	what
vad	bet
vad fan	what the fuck
vad är klockan	what time is it
vadställe	ford
vag	vague
vagga	cradle
vagn	car
vagn	waggon
vagn	wagon
vakt	watch
vakt	guard
vakta	guard
vaktel	quail
val	whale
val	election
val	choice
vallmo	poppy
valnöt	walnut
valross	walrus
valuta	currency
valuta	money
vampyr	vampire
vanadin	vanadium
vanilj	vanilla
vaniljstång	vanilla
vanlig	ordinary
vanlig	common
vanlig	usual
vanlig	plain
vante	glove
vapen	weapon
vapen	arm
vapen	coat of arms
var	pus
var	where
var	were
var är toaletten?	where is the toilet
vara	be
vara här	be
vara skyldig	owe
vardagsrum	living room
varelse	being
varför	why
varför	wherefore
varg	wolf
variabel	variable
varje	every
varje vecka	weekly
vars	whose
vart	where
varuautomat	vending machine
vas	vase
vass	reed
vatten	water
vattenfall	waterfall
vattenkanna	can
vattenmelon	watermelon
vattentät	waterproof
vattna	water
vax	wax
vecka	week
vecko-	weekly
vektor	vector
vem	who
vems	whose
ven	vein
veranda	verandah
verb	verb
verk	work
verklig	real
verkligen	actually
verklighet	reality
verktyg	tool
versal	capital
vessla	least weasel
veta	know
vete	wheat
vetenskap	science
vetenskapsman	scientist
vezir	vizier
vi	we
vi själva	ourselves
vid	at
vid	wide
vid	by
vid god hälsa	health
vidarebefodra	forward
vietnames	Vietnamese
vietnamesisk	Vietnamese
vietnamesiska	Vietnamese
vika	fold
vikt	weight
viktig	important
vila	rest
vild	wild
vildsvin	wild boar
vildsvin	boar
vilja	will
vilken	which
vilken	what
vin	wine
vinbär	currant
vind	wind
vind	attic
vinda	wind
vindruva	grape
vinge	wing
vinka	wave
vinkel	angle
vinkelrät	perpendicular
vinna	win
vinruta	rue
vinröd	wine
vinst	profit
vinter	winter
vinäger	vinegar
viol	violet
violett	violet
virke	timber
virologi	virology
virus	virus
virveltrumma	snare drum
vis	wise
visa	show
visa	prove
visare	hand
visdomstand	wisdom tooth
visent	European bison
visent	wisent
vises sten	philosopher's stone
visitkort	business card
viska	whisper
vissla	whistle
vissling	whistle
visum	visa
vit	white
vit dvärg	white dwarf
vitlök	garlic
vitryska	Belarusian
vitryska	Belorussian
vitt	white
vitt vin	white wine
vittnesmål	testimony
vodka	vodka
vokal	vowel
vokativ	vocative case
vokativ	vocative
volfram	tungsten
volleyboll	volleyball
volt	volt
votiska	Votic
vrede	wrath
vrida	twist
vulkan	volcano
vuxen	adult
vy	view
vykort	postcard
väder	weather
väg	road
väg	way
vägg	wall
vägra	refuse
vägren	shoulder
väl	well
välja	choose
välkommen	welcome
vända	face
väninna	girlfriend
vänskap	friendship
vänster	left
vänta	wait
värde	worth
värde	value
värdefull	valuable
värdelös	worthless
värld	world
världskrig	world war
värre	worse
värst	worst
väsentlig	substantial
väst	west
västerländsk	west
västerut	west
västlig	west
väte	hydrogen
vätska	liquid
vävnad	tissue
växel	change
växel	switch
växthus	greenhouse
växthuseffekt	greenhouse effect
våld	violence
våldta	rape
våldtäkt	rape
våning	story
våning	floor
vår	spring
vår	our
vårta	wart
våt	wet
webbplats	web site
whisky	whiskey
whisky	whisky
wiki	wiki
wikifiera	wikify
xenon	xenon
xhosa	Xhosa
ylle	wool
yngling	youth
yoghurt	yoghurt
yrke	profession
yta	surface
yta	face
yttrandefrihet	freedom of speech
yttrium	yttrium
yxa	axe
zink	zinc
zirkonium	zirconium
zoologi	zoology
Österrike	Austria
Östersjön	Baltic Sea
Östeuropa	Eastern Europe
Östtimor	East Timor
äckel	disgust
ädel	noble
äga	have
äga	own
äga	possess
ägare	owner
ägg	egg
äggula	yolk
äggula	egg yolk
äggvita	albumen
äkta	true
älg	moose
älg	elk
älska	love
älska	make love
älskling	love
älskling	honey
ämne	substance
än	than
ändra	change
ändras	change
äng	meadow
änka	widow
ännu	yet
äntligen	finally
äppelpaj	apple pie
äppelträd	apple tree
äpple	apple
är	is
är	are
är	am
ära	honor
ära	honour
ärkeängel	archangel
ärlig	honest
ärr	scar
ärta	pea
ärva	inherit
äss	ace
äta	eat
äta	breakfast
äta lunch	lunch
ätbar	edible
även	even
äventyr	adventure
åka	ride
åka	head
ål	eel
ålder	age
ålderdom	age
åldras	age
ånger	regret
ångmaskin	steam engine
år	year
åra	oar
årlig	annual
årlig	yearly
årstid	season
årtusende	millennium
åska	thunder
åskmuller	thunder
åsna	donkey
åsna	ass
åt	ate
återkasta	reflect
återstå	remain
åtminstone	at least
åtta	eight
åttio	eighty
åttioett	eighty-one
åttonde	eighth
ö	island
ödla	lizard
öga	eye
ögonblick	second
ögonblick	minute
ögonblickligen	immediately
ögonbryn	eyebrow
ögonfrans	eyelash
ögonlock	eyelid
öken	desert
öl	beer
öm	tender
ömsesidig	mutual
önska	wish
önskan	wish
öppen	open
öppna	open
öppnas	open
öra	ear
örn	eagle
öronvax	earwax
ösregna	rain cats and dogs
öster	east
österländsk	east
över	over
överallt	everywhere
överdriva	exaggerate
överensstämma	agree
överensstämmelse	agreement
överflödig	superfluous
överföra	transfer
överge	abolish
övergiven	abandoned
överlägsen	superior
övermorgon	day after tomorrow
övermorgon	overmorrow
övernaturlig	supernatural
överraska	surprise
överraskning	surprise
överste	colonel
översvämning	flood
översätta	translate
översättare	translator
översättning	translation
översättningar	translations
övertyga	persuade
övervinna	overcome
övning	exercise
övre	upper
