# French-English dictionary created from English Wiktionary
# Created on: 2011-03-23T11:21:30+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Mickey Mouse'''	Mickey Mouse
quantisation	quantization
quarante	forty
quarante-deux	forty-two
quark	quark
quart	quarter
quartz	quartz
quatorze	fourteen
quatorzième	fourteenth
quatre	four
quatre-vingt-huit	eighty-eight
quatre-vingt-neuf	eighty-nine
quatre-vingt-sept	eighty-seven
quatre-vingt-six	eighty-six
quatre-vingt-un	eighty-one
quatre-vingts deux	eighty-two
quatrième	fourth
que	that
que	than
que	as
quechua	Quechua
quel	which
quel	what
quel âge as-tu ?	How old are you?
quelle heure est-il	what time is it
quelqu'un	someone
quelqu'un	somebody
quelque chose	something
quelques	some
querelle	argument
question	question
queue	tail
queue	cock
qui	who
qui	which
quinzaine	fortnight
quinze	fifteen
quinzième	fifteenth
quitter	leave
quitter	quit
quoi	what
quotidien	daily
quotidiennement	daily
rabbin	rabbi
rabot	plane
racine	root
racine carrée	square root
racisme	racism
raconter	tell
radiation	radiation
radiographie	X-ray
radium	radium
radon	radon
rafraîchir	refresh
rage	rabies
rage	rage
raie	ray
raifort	horseradish
raisin	grape
raisin sec	raisin
raison	reason
rame	oar
ramer	row
ramper	creep
rapace	bird of prey
rapide	quick
rapide	fast
rapide	rapid
rapidement	quickly
rapidement	fast
rappeler	remind
rapport	relationship
rapport	report
rapport sexuel	sex
rapporter	report
rapports sexuels	sexual intercourse
rare	rare
rare	scarce
rarement	seldom
raser	shave
rasoir	razor
rasoir d'Occam	Occam's razor
rassasier	full
rat	rat
rat musqué	muskrat
rate	spleen
raton laveur	raccoon
ravin	ravine
rayon	ray
rayon	shelf
rayon	radius
rayon X	X-ray
realité	reality
rebelle	rebel
rebeller	rebel
recette	recipe
recette	process
recevoir	get
recevoir	receive
recevoir	copy
recipient	vessel
recommander	recommend
reconnaissant	appreciate
reconnaître	recognize
record	record
rectangle	rectangle
reflux	ebb
regaler	gift
regarder	watch
regarder	view
regarder	behold
regret	regret
regretter	regret
rein	kidney
reine	queen
rejeter	reject
relatif	relative
relation	relation
relativité	relativity
relier	bind
religion	religion
remake amélioré	enhanced remake
remarque	remark
remercier	thank
remplacer	replace
remplacer	change
remplir	fill
remuer	rock
renard	fox
rencontrer	meet
rendez-vous	date
renforcer	reinforce
renne	reindeer
renseignement	information
renseignements	intelligence
repas	meal
repasser	iron
reporter	transport
représentant	representative
représenter	represent
reptile	reptile
requin	shark
requête	request
respect	respect
responsabilité	responsibility
ressembler	resemble
ressentir	feel
ressort	spring
ressource	resource
reste	rest
rester	stay
restreindre	restrict
retenir	remember
reveiller	awake
revenu	income
rhinocéros	rhinoceros
rhodium	rhodium
rhum	rum
rhume	cold
rhume des foins	hay fever
riche	rich
ricocher	skim
ride	wrinkle
rider	wrinkle
ridicule	ridiculous
rigide	rigid
rire	laughter
rire	laugh
rituel	ritual
rivière	river
riz	rice
robe	dress
roche	rock
rocher	rock
rock	rock
roentgenium	roentgenium
roi	king
romain	Roman
roman	novel
romancier	novelist
romarin	rosemary
rompre	break
ronce	blackberry
rond	round
ronger	gnaw
rongeur	rodent
roque	castling
rose	rose
rose	pink
roseau	reed
rosier	rose
rossignol philomèle	nightingale
rosée	dew
rot	burp
rotule	kneecap
rouble	ruble
roue	wheel
rouflaquettes	sideburns
rouge	red
rouge à lèvres	lipstick
rouge-gorge	robin
rougir	Template:color-colour (verb)
rouille	rust
roulement mécanique	ball bearing
rouler	ride
rouler	roll
roumain	Romanian
route	road
route express	expressway
roux	red
royal	royal
royaume	kingdom
royaume	realm
ruban	ribbon
ruban de Möbius	Möbius strip
rubidium	rubidium
ruche	beehive
rude	rough
rue	street
rue odorante	rue
ruine	ruin
ruisseau	brook
ruminant	ruminant
russe	Russian
rusé	sly
rutabaga	swede
rutabaga	rutabaga
ruthénium	ruthenium
rutile	rutile
râteau	rake
râtisser	rake
règle	rule
règle	ruler
règlement	regulation
règne	kingdom
réaction	reaction
réaliser	realize
réalisme	realism
rébellion	rebellion
récent	recent
réchauffement climatique	global warming
récit	narrative
récompense	reward
récréation	recreation
réel	real
réel	actual
réfléchir	reflect
réfrigérateur	refrigerator
réfugié	refugee
réfuser	refuse
référer	refer
région	region
région des Sudètes	Sudetenland
régler	regulate
régulier	regular
réparation	repair
réparer	repair
réponse	answer
république	republic
réputation	reputation
répéter	repeat
répéter	parrot
réseau	net
réservation	reserve
réserve	stock
réserver	book
réserver	reserve
résidence	residence
résidence surveillée	house arrest
résider	dwell
résistance	resistance
résistance	resistor
résoudre	resolve
résultat	result
résumé	summary
réunion	union
réveil	alarm clock
révolution	revolution
révéler	reveal
révérence	bow
rêne	rein
rêve	dream
rêver	dream
rôle	part
röntgen	röntgen
s'abonner	subscribe
s'agenouiller	kneel
s'apaiser	quiet
s'asseoir	sit down
s'efforcer	strive
s'embrasser	kiss
s'enfoncer	sink
s'entraîner	train
s'habiller	dress
s'il vous plaît	please
s'incliner	bow
s'inquiéter	worry
s'opposer	object
sable	sand
sable	sable
sables mouvants	quicksand
sablier	hourglass
sabot	hoof
sac	sack
sac à dos	backpack
saccharose	sucrose
sacrifice	sacrifice
sacrifier	sacrifice
safran	saffron
sage	wise
sage-femme	midwife
saigner	bleed
saisir	seize
saison	season
salade	salad
salaire	salary
salaire	wage
salaud	louse
sale	dirty
saler	salt
salir	dirty
salissant	dirty
salive	saliva
salle de bains	bathroom
salle de bains	bath
salle à manger	dining room
saluer	wave
salut	hello
salut	hi
salut	bye
salé	salty
same	Saami
same	Sami
samedi	Saturday
samouraï	samurai
sanctuaire	shrine
sandwich	sandwich
sang	blood
sanglant	bloody
sanglier	wild boar
sanglier	boar
sangsue	leech
sans	without
sans plomb	unleaded
sans valeur	worthless
sanskrit	Sanskrit
santal	sandalwood
santé	health
saphir	sapphire
sapin	fir
sarcasme	taunt
sarcasme	sarcasm
sarcophage	sarcophagus
sarigue	opossum
satisfaction	satisfaction
satisfait	happy
saturne	Saturn
sauce	sauce
sauce au jus	gravy
saucisse	sausage
saucisson	sausage
sauf	but
saule	willow
saumon	salmon
saut	leap
sauter	leap
sauter	spring
sauterelle	grasshopper
sautiller	skip
sauvage	wild
sauvegarder	save
sauver	save
savoir	know
savon	soap
savoner	lather
saxophone	saxophone
scandium	scandium
scarabée	beetle
sceau	seal
scie	saw
science	science
scientifique	scientist
scier	saw
scrotum	scrotum
sculpture	sculpture
scène	stage
scène	scene
se	retreat
se battre	fight
se branler	jerk off
se cacher	hide
se casser	break
se coucher	lie
se demander	wonder
se diriger	head
se déshabiller	undress
se figer	freeze
se lever	stand
se lever	get up
se marier	marry
se mouvoir	move
se noyer	drown
se poser	land
se rappeler	remember
se rendre	surrender
se rendre (bien) compte de	appreciate
se rendre compte	realize
se reposer	rest
se reveiller	awake
se rompre	break
se taire	can
se tromper	mistake
seau	bucket
sec	dry
seconde	second
secourir	rescue
secret	secret
secrétaire	secretary
secrétaire général	chairman
secte	sect
seiche	squid
seigle	rye
seigneur	lord
sein	breast
seize	sixteen
sel	salt
selle	saddle
selon	according to
semaine	week
sembler	seem
semence	seed
semence	semen
semer	sow
semiconducteur	semiconductor
sens	sense
sensation	feeling
sentier	path
sentiment	feeling
sentiments	feeling
sentir	smell
sept	seven
sept cent cinquante	seven hundred and fifty
sept péchés capitaux	seven deadly sins
septembre	September
septième	seventh
serbe	Serbian
serbo-croate	Serbo-Croatian
sergent	sergeant
serment	oath
serpent	snake
serpent	serpent
serpenter	snake
serre	greenhouse
serrure	lock
service	service
serviette	towel
serviette	napkin
seul	alone
seulement	only
sexe	sex
sexe	gender
sexologie	sexology
sexuel	sexual
sexy	sexy
shampooing	shampoo
si	if
si	yes
si seulement	if only
signe	sign
signifier	mean
silence :fr:silence	silence
silencieux	quiet
silicium	silicon
sillon	furrow
similaire	similar
simple	simple
simple	plain
simultané	simultaneous
simultanément	simultaneously
sincère	sincere
singe	monkey
singe	ape
singulier	singular
sinople	vert
sinus	sine
sirène	mermaid
sismique	seismic
site Web	web site
six	six
sixième	sixth
siècle	century
siège	siege
ski	ski
skier	ski
slovaque	Slovak
slovène	Slovene
slovène	Slovenian
snob	snob
société	society
sodium	sodium
soi-même	itself
soi-même	oneself
soie	silk
soif	thirst
soir	evening
soirée	night
soit dit en passant	by the way
soixante	sixty
soixante et onze	seventy-one
soixante-huit	sixty-eight
soixante-neuf	sixty-nine
soixante-quinze	seventy-five
sol	floor
sol	soil
soldat	soldier
soldes	sale
soleil	Sun
solide	solid
solide	strong
solitude	solitude
solution	solution
solution	answer
somali	Somali
somme	total
somme	sum
somme de contrôle	checksum
sommeil	sleep
sommes	are
somnambulisme	somnambulism
son	his
son	her
son	bran
sonner	ring
sonner	sound
sonnerie	ring tone
sonnet	sonnet
sont	are
sorcière	witch
sorgho	sorghum
sortie	exit
sortir	exit
sottise	nonsense
souci	worry
souci	trouble
soucoupe volante	flying saucer
soudain	sudden
soudainement	suddenly
souffler	blow
soufre	sulfur
souhait	wish
souhaiter	wish
soul	soul
soulagement	relief
souper	supper
souple	floppy
soupçonner	suspect
source	spring
sourcil	eyebrow
sourd	deaf
sourire	smile
souris	mouse
sous	under
sous-marin	submarine
sous-sol	basement
soustraction	subtraction
soustraire	subtract
souteneur	pimp
soutien-gorge	bra
souvenir	memory
souvent	often
souverain	sovereign
spaghettis	spaghetti
spectacle	show
sphère	sphere
spirituel	spiritual
splendide	splendid
sport	sport
spécial	special
spécialité	specialty
spécialité	speciality
spécifique	specific
squelette	skeleton
station-service	gas station
statistiques	statistics
strontium	strontium
strophe	stanza
structure sonate	sonata form
stupide	stupid
stériliser	sterilize
subalterne	minion
subir	suffer
subjonctif	subjunctive
substance	substance
substance	stuff
substantiel	substantial
subséquent	subsequent
sucer	suck
sucre	sugar
sucré	sweet
sud	south
sud-est	southeast
sud-ouest	southwest
sueur	sweat
suffisamment	enough
suffisant	sufficient
suicide	suicide
suicidé	suicide
suis	am
suivre	follow
sujet	subject
sujet	topic
sultan	sultan
sumérien	Sumerian
super	super
superflu	superfluous
superlatif	superlative
supporter	bear
supposer	suppose
supprimer	suppress
suprême	supreme
supérieur	upper
supérieur	superior
sur	on
sur	over
sureau	elderberry
surface	surface
surgir	arise
surnaturel	supernatural
surnom	nickname
surprise	surprise
surréalisme	surrealism
suédois	Swedish
svastika	swastika
svelte	slender
swahili	Swahili
syllabe	syllable
syllogisme	syllogism
sympathique	sweet
symphonie	symphony
symptôme	symptom
synchroniser	synchronize
syndrome d'immunodéficience acquise	acquired immune deficiency syndrome
synonyme	synonym
synthétiseur	synthesizer
syrah	Shiraz
système	system
système	scheme
système d’exploitation	operating system
système nerveux orthosympathique	sympathetic nervous system
système solaire	solar system
séance	session
sécher	dry
sécheresse	drought
sécurité	security
séjour	living room
sélénium	selenium
sémelfactif	semelfactive
sénat	senate
séparer	separate
séparé	separate
sérieux	serious
sérénade	serenade
sévère	stern
sûr	sure
sûrement	surely
sûreté	safety
sœur	sister
sœur	sisters
s’en aller	go
t+	source code
tabac	tobacco
table	table
tableau	table
tableau noir	blackboard
tableau périodique	periodic table
tablier	apron
tache	spot
tache de naissance	birthmark
tache de rousseur	freckle
tadjik	Tajik
taille	waist
tailleur	tailor
talent	talent
talon	heel
tambour	drum
tamis	sieve
tamoul	Tamil
tandis que	while
tangente	tangent
tantale	tantalum
tante	aunt
tapir	tapir
tapis	carpet
tard	late
tarte	pie
tarte aux pommes	apple pie
tas	heap
tasse	cup
tasse	tea
tatar de Crimée	Crimean Tatar
tatouage	tattoo
tatouer	tattoo
taupe	mole
taureau	bull
taxe	duty
taxe sur la valeur ajoutée	value added tax
taxi	taxi
tchador	chador
tchèque	Czech
tchétchène	Chechen
technique	technique
technétium	technetium
teckel	dachshund
teindre	dye
teinture	dye
tel père, tel fils	like father, like son
tellement	so
tellure	tellurium
tempe	temple
temple	temple
temporaire	temporary
temps	weather
temps	time
temps	tense
température	temperature
tempête de neige	snowstorm
tendance	tendency
tendon d’Achille	Achilles' tendon
tendre	tender
tennis	tennis
tennis de table	table tennis
tension	stress
tension	voltage
tentation	temptation
tente	tent
tenter	attempt
terme	term
terme mal approprié	misnomer
termites	termite
terrain	field
terre	land
terre	earth
terreur	terror
terrible	terrible
terrier	den
terrorisme	terrorism
terroriste	terrorist
test	test
testament	will
testicule	testicle
testostérone	testosterone
thallium	thallium
thaï	Thai
thaïlandais	Thai
thermomètre	thermometer
thon	tuna
thrombocytopénie	thrombocytopenia
thème	theme
thèse	thesis
thé	tea
théisme	theism
théière	teapot
théologie	theology
théorie	theory
théorie des ensembles	set theory
théorie des graphes	graph theory
théorie du chaos	chaos theory
théâtre	theater/homonyms
tibia	shin
tige	stalk
tigre	tiger
tilleul	lime
timbre	postage stamp
timide	timid
timide	shy
tique	tick
tir à l'arc	archery
tirer	shoot
tirer	pull
tirer	fire
tiroir	drawer
tisane	tea
tisser	weave
tisserand	weaver
tissu	tissue
tissu	cloth
titane	titanium
titre	title
tiède	lukewarm
tmèse	tmesis
toi-même	yourself
toile	web
toile	linen
toilette	bathroom
toilettes	toilet
toit	roof
tolérer	tolerate
tomahawk	tomahawk
tomate	tomato
tomber	fall
tomber amoureux	fall in love
tombée de la nuit	nightfall
tombée de la nuit	dark
tonne	ton
tonner	thunder
tonnerre	thunder
tordre	twist
tornade	tornado
torse	torso
tortue	turtle
tortue	tortoise
total	total
total	full
touche	key
touche-à-tout	busybody
toucher	touch
tour	castle
tour	rook
tour	lathe
tour	cycle
tourbe	peat
tourd	thrush
touriste	tourist
tourment	torment
tourner	wind
tournesol	sunflower
tournevis	screwdriver
tournoi	tournament
tourterelle	turtle dove
tous les chemins menent a Rome	all roads lead to Rome
tousser	cough
tout	everything
tout	all
tout le monde	everybody
toux	cough
toxique	toxic
trachée	trachea
tracteur	tractor
tradition	tradition
traducteur	translator
traduction	translation
traduction automatique	machine translation
traductions	translations
traduire	translate
tragédie	tragedy
train	train
traire	milk
trait d'union	hyphen
traitement	cure
traiter	cure
traité	treaty
tramway	tram
tranquille	quiet
transcription	transliteration
transfert	transfer
transformation	transformation
transférer	transfer
translation	translation
translittérer	transliterate
transpiration	perspiration
transpirer	sweat
transport	transportation
transréalisme	transrealism
travail	job
travailler	work
travailleur	worker
traverser	cross
travesti	transvestite
trayon	teat
treillage	lattice
treize	thirteen
treizième	thirteenth
tremblement de terre	earthquake
trente	thirty
trente et un	thirty-one
triage	sort
triangle amoureux	love triangle
triangle rectangle	right triangle
tribu	tribe
tricycle	tricycle
trier	sort
trillion	trillion
trimestre	quarter
trinité	trinity
triste	sad
trois	three
trois	thrice
troisième	third
troisième personne	third person
trompe	trunk
tromper	deceive
trompette	trumpet
tronc	trunk
tronc	tree trunk
tronc	log
tronc cérébral	brain stem
tronçonneuse	chainsaw
trop	too
trottoir	pavement
trou du cul	asshole
trou noir	black hole
trouver	find
truite	trout
truite arc-en-ciel	rainbow trout
trèfle	club
trèfle	clover
trèfles	clubs
très	very
trésor	treasure
trésorier	treasurer
trône	throne
tsar	czar
tsigane	Gypsy
tsunami	tsunami
tu	thou
tuberculose	tuberculosis
tuer	kill
tuer	slay
tulipe	tulip
tungstène	tungsten
turc	Turkish
turquoise	turquoise
tuyau	tube
tympan	eardrum
tympanon	dulcimer
type	sort
type	dude
typhon	typhoon
télescope	telescope
télé	TV
téléchargement	download
télécharger	download
télégramme	telegram
téléjournal	news
téléphone	telephone
téléphone	phone
téléphone mobile	mobile phone
téléphoner	phone
téléphoner	telephone
téléviseur	television
télévision	television
témoignage	testimony
tétras lyre	black grouse
têtard	tadpole
tête	head
têtu	stubborn
tôt	early
ubiquiste	ubiquitous
ukrainien	Ukrainian
ulcère	ulcer
un	one
un	an
un peu	a little
unbibium	unbibium
unbinilium	unbinilium
unbiunium	unbiunium
une	once
une heure	o'clock
uniforme	uniform
union	union
unique	unique
unir	unite
unité	unit
universel	universal
université	university
ununennium	ununennium
ununhexium	ununhexium
ununpentium	ununpentium
ununquadium	ununquadium
ununseptium	ununseptium
ununtrium	ununtrium
urbain	urban
urgent	urgent
urine	urine
uriner	urinate
usage	use
usine	factory
usurper	usurp
utile	useful
utiliser	use
utilité	use
utopie	utopia
utérus	womb
utérus	uterus
vache	cow
vagin	vagina
vague	wave
vague	vague
vaincre	overcome
vaincre	own
vaisseau	ship
vaisseau	vessel
vaisseau spatial	spacecraft
vaisseau spatial	spaceship
valet	jack
valeur	worth
valeur propre	eigenvalue
valide	valid
valise	suitcase
vallée	valley
vampire	vampire
vanadium	vanadium
vandale	vandal
vandalisme	vandalism
vanille	vanilla
vapeur	vapor
vapeur	vapour
vapeur	water vapor
variable	variable
vase	vase
vaste	vast
vautour	vulture
vautour fauve	griffon vulture
veau	calf
veau	veal
vecteur	vector
veine	vein
vendeur	salesman
vendeur	salesperson
vendre	sell
vendredi	Friday
vendredi saint	Good Friday
vengeance	revenge
venin	venom
venir	come
venir	cum
venir de	just
vent	wind
vente	sale
vente	auction
ventilateur	fan
ventre	belly
ver	worm
ver	earthworm
ver à soie	silkworm
verbe	verb
verbe auxiliaire	auxiliary verb
verbe intransitif	intransitive verb
verbe transitif	transitive verb
vermine	worm
vernaculaire	vernacular
vernis	polish
verrat	boar
verre	glass
verre	drink
verrue	wart
vers	where
vers	west
vers	east
verseau	Aquarius
verser	pour
vert	green
vertu	virtue
vertèbre	vertebra
vertébré	vertebrate
vessie	bladder
veuve	widow
victoire	victory
vide	empty
vide	vacuum
vide	vacant
vider	empty
vie	life
vierge	virgin
vietnamien	Vietnamese
vieux	old
vigilance	vigilance
vigne	vine
vignoble	vineyard
village	village
ville	city
vin	wine
vinaigre	vinegar
vingt	twenty
vingt-cinq	twenty-five
vingt-deux	twenty-two
vingt-et-un	twenty-one
vingt-huit	twenty-eight
vingt-neuf	twenty-nine
vingt-quatre	twenty-four
vingt-sept	twenty-seven
vingt-six	twenty-six
vingt-trois	twenty-three
viol	rape
viole	abuse
violence	violence
violer	rape
violet	purple
violet	violet
violon	violin
vipère	viper
virgule	comma
virologie	virology
virtuel	virtual
virtuel realité	virtual reality
virtuose	virtuoso
virus	virus
vis	screw
visa	visa
visite	visit
visiter	visit
vison	mink
vital	vital
vitesse	speed
vitesse de la lumière	speed of light
vitesse du son	speed of sound
vitrine	window
vivant	live
vivre	live
vizir	vizier
vocatif	vocative case
vocatif	vocative
vodka	vodka
voie	way
voir	see
voir	sight
voisin	neighbour
voisinage	neighbourhood
voisinage	neighborhood
voiture	car
voix	vote
vol	theft
vol	flock
vol	flight
volant	steering wheel
volcan	volcano
voler	fly
voler	steal
voler	rob
voler	sail
voleur	thief
volley-ball	volleyball
volontiers	willingly
volonté	will
volt	volt
volume	volume
vomir	vomit
vote	Votic
voter	vote
vouloir	want
vouloir dire	mean
vous	you
vous	y'all
voyage	journey
voyage	trip
voyager	travel
voyager	journey
voyelle	vowel
vrai	true
vrai	real
vraiment	really
vue	sight
vue	view
végétal	vegetable
véhicule	vehicle
vélo	bike
vérité	truth
vêtement	garment
vêtements	clothes
vœu	promise
wagon	car
week-end	weekend
whiskey	whiskey
whiskey	whisky
wiki	wiki
wikifier	wikify
wollastonite	wollastonite
xhosa	Xhosa
xylophone	xylophone
xénon	xenon
xénophobie	xenophobia
yack	yak
yaourt	yoghurt
yiddish	Yiddish
yttrium	yttrium
zibeline	sable
zinc	zinc
zircon	jargon
zirconium	zirconium
zone	zone
zoologie	zoology
zèbre	zebra
zéro	zero
zéro absolu	absolute zero
Âge de la pierre	Stone Age
Âge du bronze	Bronze Age
Âge du fer	Iron Age
Ève	Eve
Écossais	Scot
Écosse	Scotland
Édimbourg	Edinburgh
Édouard	Edward
Égypte	Egypt
Égyptien	Egyptian
Élisabeth	Elizabeth
Émilie	Emily
Émirats Arabes Unis	United Arab Emirates
Épire	Epirus
Équateur	Ecuador
Éric	Eric
Érythrée	Eritrea
Ésaïe	Isaiah
Ésaü	Esau
États-Unis d'Amérique	United States of America
Éthiopie	Ethiopia
Étienne	Stephen
Île de Pâques	Easter Island
Îles Marshall	Marshall Islands
Îles Salomon	Solomon Islands
à	at
à	to
à bas	down
à côté	by
à côté	next
à fond	inside out
à l'envers	inside out
à l'est	east
à moins que	unless
à partir de zéro	from scratch
à qui	whose
à vos souhaits	bless you
à votre santé	cheers
âge	age
âme	soul
âne	donkey
âne	ass
ça	that
ça	enough
ère	era
ébène	ebony
écaille	scale
échafaudage	scaffolding
échantillon	sample
écharpe	scarf
échec	failure
échec	check
échecs	chess
échelle	scale
échelle	ladder
échidné	echidna
échine	loin
échiquier	chessboard
éclair	lightning
éclipse	eclipse
éco-	eco-
école	school
écologie	ecology
économie	economy
économie	economics
écorce	bark
écoulement	flow
écouter	listen
écran	screen
écran	monitor
écrevisse	crayfish
écrin	case
écrire	write
écrivain	writer
écrou	nut
écu	shield
écume	foam
écureuil	squirrel
édition	edition
église	church
égoïste	selfish
égyptien	Egyptian
éjaculation	ejaculation
élan	spirit
élan	moose
élan	elk
élection	election
électricité	electricity
électricité	power
électro-aimant	electromagnet
électromagnétisme	electromagnetism
électron	electron
élever	raise
élever	cube
élixir de la longue vie	elixir of life
élève	pupil
élégant	elegant
éléphant	elephant
émeraude	emerald
émergence	emergence
émission	Template:program-programme-noun
émotion	emotion
émoussé	dull
énantiomère	enantiomer
énergie	energy
énigmatique	enigmatic
énigme	enigma
énorme	huge
épargner	save
épaulard	orca
épaulard	killer whale
épaule	shoulder
épeler	spell
épervier	sparrow hawk
éphémère	ephemeral
épicer	season
épicé	hot
épicéa	spruce
épidémie	epidemic
épiglotte	epiglottis
épinards	spinach
épingle	pin
éponge	sponge
époque	age
époque	epoch
épouvantail	scarecrow
époux	spouse
épreuve	test
épreuve	feeling
éprouver	experience
épée	sword
équateur	equator
équation	equation
équation différentielle	differential equation
équilibre	balance
équilibre	equilibrium
équinoxe	equinox
équipage	crew
équipe	team
érable	maple
établissement	establishment
étage	story
étage	floor
étain	tin
étalon	stallion
étang	pond
état	state
étau	vise
étendre	stretch
étendu	extensive
éternel	eternal
éternuement	sneeze
éternuer	sneeze
étincelle	spark
étiologie	aetiology
étiquette	tag
étiquette	label
étoile	star
étoile de mer	starfish
étonner	surprise
étourneau	starling
étrange	strange
étranger	foreign
étranger	foreigner
étranger	alien
étrave	bow
étreindre	hug
étreinte	hug
étrier	stirrup
étroit	narrow
étron	turd
étudiant	student
étudier	study
été	summer
évacuation	evacuation
évacuer	evacuate
éveillé	awake
éventail	fan
évident	visible
évident	obvious
éviter	avoid
évolution	evolution
événement	occurrence
évêque	bishop
êtes	are
être	be
être	sit
être debout	stand
être humain	human being
île	island
îles Baléares	Balearic Islands
îles Cook	Cook Islands
œcuménisme	ecumenism
œil	eye
œsophage	oesophagus
œuf	egg
œuf de Pâques	Easter egg
œufs de poisson	roe
