# German-English dictionary created from OmegaWiki database
# Created on: 2011-03-24T07:33:00+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADI-Wert	acceptable daily intake
Umweltzustandsdaten	data on the state of the environment
Umweltökonomie	environmental economics
Umweltökonomie (betrieblich) ; betriebliche Umweltökonomie	environmental economics of firms
Umweltüberwachung	environmental monitoring
Unabhängigkeit	independence
Unfall	accident
Unfallsursache ; Unfallursache	accident source ; cause of the accident
Ungarisch	Hungarian
Ungarn	Hungary ; Republic of Hungary
Universität ; Universität ; Uni ; Uni	university ; university ; academy
Unkraut	weed
Unrat ; Streu	litter
Unterdrückung	repression
Unterernährung	malnutrition
Unterglasanbau	greenhouse cultivation
Untergrundbahn	underground train
Untergrundbahn ; U-Bahn	underground railway
Untergrundwassergewinnung	exploitation of underground water
Unterhaus	Lower House
Unterholz	brushwood
Unterkunft	housing
Unternehmensarten	business classification
Unternehmensorganisation	business organisation
Unternehmenspolitik	company policy
Unternehmenspolitik	business policy
Unternehmensstruktur	company structure
Unternehmer	entrepreneur
Unterricht	teaching
Unterseeboot	submarine
Untersuchung	assay
Untersuchungsprogramm	analysis programme
Ununbium	ununbium
Ununhexium	ununhexium
Ununoctium	ununoctium
Ununpentium	ununpentium
Ununquadium	ununquadium
Ununseptium	ununseptium
Ununtrium	ununtrium
Uran	uranium
Uranus	Uranus
Urdu	Urdu ; Urdu
Urin ; Harn	urine
Ursidae ; Bären	ursid
Utah	Utah
Vaduz	Vaduz
Vampir ; Vampyr	vampire
Vanadium	vanadium
Vandalismus	vandalism
Vatikanstadt ; Vatikan	Vatican City ; The Holy See ; State of the Vatican City
Vegetationskunde	phytosociology
Vektor	vector
Venedig	Venice
Venezuela	Venezuela
Venus	Venus
Verarbeitung	processing
Verarmung	impoverishment
Verband	association
Verbindung ; chemische Verbindung	compound ; chemical compound
Verbot	prohibition
Verbrauchergruppe	consumer group
Verbraucherinformation	consumer information
Verbraucherrückstände	consumer waste
Verbraucherschutz	consumer protection
Verbrauchsgut	non-durable goods
Verbrauchsmuster	consumption pattern
Verbrechen	crime
Verbrennung	incineration
Verbrennungsabgas	combustion gas
Verbrennungsanlage ; Müllverbrennungsanlage	incinerator
Verbrennungsmotor	combustion engine
Verbrennungsrückstand	combustion residue
Verbrennungsrückstand	incineration residue
Verdachtsfläche	area of potential pollution
Verdauung	digestion
Verdauungstrakt ; Verdauungsapparat ; Magen-Darm-Trakt ; Gastrointestinaltrakt	gastrointestinal tract ; alimentary canal
Verdichtung	compaction
Vereinigte Arabische Emirate	United Arab Emirates
Vereinigte Staaten ; Vereinigte Staaten von Amerika ; USA	United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States
Vereinigtes Königreich ; Vereinigtes Königreich Großbritannien und Nordirland ; Großbritannien	United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK
Verfahrensanalyse	process analysis
Verfahrenstechnik	process technology
Verfassung	constitution
Verfassungsrecht	constitutional law
Verfügung	decree
Vergasung	gasification
Vergehen	wrongful act
Vergiftung	poisoning
Vergleiche ; Vergleich	comparison
Vergleichsuntersuchung	comparative test
Verhalten	behaviour
Verhaltensmuster	behaviour pattern
Verhaltenswissenschaften	behavioural science
Verhütung von Umweltverschmutzung	pollution prevention
Verkehr	traffic
Verkehrslärm	traffic noise
Verkehrsziel	destination of transport
Verklappung	ocean dumping
Verletzung	injury
Verletzung ; Wunde	wound
Verlust	loss
Vermerk	notice
Verordnung	ordinance
Verpackung	packaging
Verpackungsabfall	packaging waste
Verpackungsindustrie	packing industry
Versauerung	acidification
Verschmutzungsindikator	pollution indicator
Verseuchung	contamination
Versicherung	insurance
Versicherungsschutz	insurance coverage
Versicherungswirtschaft	insurance business
Verstaatlichung	nationalisation
Versteigerung ; Auktion	auction
Verstädterung	urbanisation
Versuchsanlage	pilot plant
Vertebraten ; Wirbeltier ; Vertebrat	vertebrate
Verteidigung	defence
Verteilung	distribution
Vertrag	agreement
Vertrag	treaty
Vertretung	representation
Vertrieb	distributive trade
Vertriebener	displaced person
Verträglichkeitsprüfung	impact assessment
Verunreinigung	pollution
Verunreinigung durch Chemikalien	chemical pollution
Verunreinigung durch Kraftfahrzeuge	motor vehicle pollution
Verursacherprinzip	polluter-pays principle
Verwaltung ; Administration	administration ; direction ; management
Verwaltungsabkommen	agreement
Verwaltungsakt	administrative deed
Verwaltungsbehörde ; Verwaltungsorgan	administrative body ; administrative organ
Verwaltungsberuf	administrative occupation
Verwaltungsgenehmigung	administrative sanction
Verwaltungsgrenze	administrative boundary
Verwaltungskompetenz	administrative competence ; administrative ability
Verwaltungsorganisation	administrative organisation
Verwaltungsplan	management plan
Verwaltungsrecht	administrative law
Verwaltungsvorgang	administrative procedure
Verwaltungsvorschrift	administrative instructions
Verwaltungszwang	administrative fiat
Verweisinformation	referral information
Verweisinformationssystem	referral information system
Verwendung lokaler Ressourcen	local resource utilisation
Verwerfung	fault
Veteran	veteran
Vieh	farm animal
Viehbestand	livestock
Viehwirtschaft	livestock farming
Vier	four
Viereck	quadrilateral
Viertaktmotor ; Viertakter	four stroke engine
Vierteilen	quartering
Vietnamesisch	Vietnamese ; Vietnamese
Virologie	virology
Virus	virus
Viskosität	viscosity
Vitamin	vitamin
Vogel	bird
Vogelart	bird species
Vogelhaus	aviary
Vogelschutz	protection of birds
Vogelschutzgebiet	bird sanctuary
Vogelzucht	aviculture
Vokabular	vocabulary
Vokal ; Selbstlaut	vowel
Volapük	Volapük
Volksfürsorgeanhörung	public benefit inquiry
Volksgesundheit	public health
Volkspark	public park
Volkstradition	folk tradition
Volkswirtschaft	national economy
Volkswirtschaftliche Gesamtrechnung	national accounting
Volkswirtschaftslehre	macroeconomics
Volkszählung	census survey
Volleyball	volleyball
Vorbeugung gegen Schadwirkungen	impact prevention
Vorbeugungsmaßnahme	prevention measure
Vorhersage	forecast
Vorkaufsrecht	pre-emption
Vormachtstellung	ascendancy
Vorort	suburb
Vorschrift	prescription
Vorschuss	advance
Vorsorgeprinzip	precautionary principle
Vorverfahren	preliminary proceedings
Vulkan	volcano
Vulkanausbruch	volcanic eruption
Vulkanisation	vulcanisation
Vulkanismus	volcanism
Völkerrecht	public international law
Waage	Libra
Waffe	weapon
Waffenlager	armoury
Waffenstillstand	armistice
Wahl	ballot
Wahlverfahren	voting
Wahrheit	truth
Waise	orphan
Wal	whale
Wald	wood
Waldbestand	forest resource
Waldbrand	forest fire
Waldbrandverhütung	prevention of forest fires
Waldschaden	forest damage
Waldschadensinventur	inventory of forest damage
Waldschutz	forest protection
Waldschutzgebiet	forest reserve
Waldsterben	forest deterioration
Waldwirtschaft	forestry practice
Waldökologie	forest ecology
Waldökosystem	forest ecosystem
Wales	Wales
Walfang	whaling
Wallis und Futuna	Wallis and Futuna ; Territory of the Wallis and Futuna Islands
Wallonisch	Walloon ; Walloon
Walroß ; Walross	walrus
Wand	wall
Wanderarbeitskräfte	migrant labour
Wanderfisch	migratory fish
Wanderheuschrecke	locust
Wanderweg	hiking trail
Wanze	bug ; põrnikas
Warmblüter	warm-blooded animal
Warmwasser	hot water
Waschmittel	detergent
Washington	Washington
Wasser	water
Wasseraufbereitung	water treatment
Wasserball	water polo
Wasserbau	hydraulic construction
Wasserbau	hydraulic engineering
Wasserbehälter	water reservoir
Wasserbelüftung	water aeration
Wasserbilanz	hydrologic balance
Wasserbrunnen	water well
Wasserentsalzung	water desalination
Wasserfall	waterfall
Wasserfluß	hydrologic flow
Wasserhaushalt	biological water balance
Wasserkatastrophe	hydrologic disaster
Wasserkosten	water cost
Wasserkraftwerk	hydroelectric power plant
Wasserkreislauf	hydrologic cycle
Wassermann	Aquarius
Wassermühle	water mill
Wasserorganismen	aquatic organism
Wasserpflanze	aquatic plant
Wasserpumpe	water pump
Wasserressourcen	water resource
Wasserscheide	watershed
Wasserstand	water level
Wasserstoff	hydrogen
Wassertier	aquatic animal
Wasserversalzung	water salination
Wasserversorgung	water supply
Wasservogel	waterfowl
Wasserökologie	aquatic ecology
Wecker ; Weckuhr ; Weckeruhr	alarm clock
Weide	willow
Weide ; Weideland	pasture
Weiher	pond
Weihnachten	Christmas
Weihnachtsbaum ; Christbaum ; Tannenbaum	Christmas tree
Weihnachtsinsel	Christmas Island
Wein	wine
Weinberg	vineyard
Weintraube	grape
Weiterbildung	continuing education
Weizen	wheat
Weiß	white
Weißrussisch ; Belarussisch ; Weißruthenisch	Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian
Weißrussland ; Belarus	Belarus ; Republic of Belarus
Welt	world
Welterbe	world heritage site
Weltkrieg	world war
Werbung	advertisement ; promotion
Werkstoff	material ; materials
Werkstoffkunde	materials science
Wertewandel	change in value
Wespe	wasp
Westasien	Western Asia ; Southwest Asia
Westeuropa	Western Europe
Wettbewerbsfähigkeit	competitiveness
Wettbewerbsrecht	competition law
Wettbewerbsverzerrung	distortion of competition
Wetter	weather
Wetterkatastrophe	meteorological disaster
Widder	Aries
Wiederaufbereitung	reprocessing
Wiederaufforstung	reforestation
Wiedereinbürgergung von Pflanzenarten	plant species reintroduction
Wiedereinbürgerung	reintroduction
Wiedereinbürgerung von Tierarten	animal species reintroduction
Wiedergutmachung	redress
Wiederherstellung der natürlichen Pflanzen- und Tierwelt	fauna restoration
Wien	Vienna
Wiese	meadow
Wiki	wiki
Wikipedia	Wikipedia
Wikiwörterbuch ; Wiktionary	Wiktionary
Wildfauna	wild fauna ; wildlife ; wild animals
Wildpflanze	wild plant
Wildtier	wild animal
Wind	wind
Windel	nappy
Windenergie	wind power
Windmühle	windmill
Winter	winter
Wirbelschicht	fluidised bed
Wirbelschichtverfahren	fluidisation
Wirklichkeit ; Realität ; πραγματικότητα	reality
Wirkung	effect
Wirkung auf den Menschen	effect on man
Wirkung auf die Gesundheit	effect on health
Wirkungsforschung	research of the effects
Wirkungsgrad	efficiency level
Wirkungsgradverbesserung	improvement of efficiency
Wirkungsminimierung	impact minimisation
Wirkungsquellen	impact source
Wirtschaft	economy
Wirtschaftlichkeit	economic viability
Wirtschaftsentwicklung	economic development
Wirtschaftsförderung	promotion of trade and industry
Wirtschaftsgebäude	agricultural building
Wirtschaftsgeographie	economic geography
Wirtschaftsplan	economic plan
Wirtschaftsplanung	economic planning
Wirtschaftspolitik	economic policy
Wirtschaftsprognose	economic forecasting
Wirtschaftsraum	economic region
Wirtschaftssektor	economic sector
Wirtschaftsstruktur	economic structure
Wirtschaftssystem	economic system
Wirtschaftstendenz	economic trend
Wirtschaftstheorie	economic theory
Wirtschaftswachstum	economic growth
Wismut ; Bismut	bismuth
Wissenschaft	science
Wissenschaftler ; Gelehrte ; Wissenschaftlerin ; Gelehrter	scientist
Witterungserscheinung	meteorological phenomenon
Woche	week
Wochenende	weekend
Wohlstand ; Prosperität	prosperity
Wohndichte	housing density
Wohngebiet ; Wohnblock	residential area
Wohngebäude	residential building
Wohnmobil	mobile home
Wohnqualitätsnorm	housing quality standard
Wohnrecht	housing legislation
Wohnung	dwelling
Wohnungsbauprogramm	housing programme
Wohnverbesserung	housing improvement
Wolf	wolf
Wolfram	tungsten
Wolga	Volga
Wolke	cloud
Wolle	wool
World Wide Web ; WWW	World Wide Web ; WWW
Wort	word
Wortart ; Wortart ; Wortart	part of speech ; lexical category
Wurzel	root
Wyoming	Wyoming
Währung	currency
Währungsbeziehungen	monetary relations
Wärme	heat
Wärme-Kraft-Beziehung	power-heat relation
Wärmekraftwerk	thermal power plant
Wärmepumpe	heat pump
Wärmespeicherung	heat storage
Wärmeversorgung	heat supply
Wärter	attendant
Wäsche	laundering
Würfel ; Spielwürfel	dice ; die ; die ; die
Wüste	desert
Wüstenausbreitung	desertification
Wüstenausbreitungskontrolle	desertification control
Wüstenheuschrecke	desert locust
Wüstenklima	desert climate
Xenon	xenon
Xhosa	Xhosa
Xylofon ; Xylophon	xylophone
Yak	yak
Ytterbium	ytterbium
Yttrium	yttrium
Zahn	molar ; tooth
Zahnarzt	dentist
Zahnmedizin	dentistry
Zauberer ; Hexer ; Magier ; Zaubrer	wizard ; sorcerer ; magician
Zebra	zebra
Zeh ; Zehe	toe
Zeit	time
Zeitschrift ; Magazin ; Illustrierte	journal ; mag ; magazine ; periodical
Zeitung ; Tageszeitung	newspaper
Zeitzone	timezone
Zelle ; Zelle	cell ; cell
Zellstoffindustrie	cellulose industry
Zement	cement
Zementherstellung	cement manufacture
Zementindustrie	cement industry
Zentralafrika	Central Africa
Zentralafrikanische Republik	Central African Republic
Zentralamerika	Central America
Zentralasien	Central Asia
Zentralisierung	centralisation
Zentralregierung	central government
Zentrifugation	centrifugation
Zerfallsprodukt	decay product
Zerkleinern	grinding
Zerkleinerungsrückstände	residue of grinding
Zerstörung der Waldbedeckung	forest cover destruction
Zerstörung des Lebensraums	habitat destruction
Zertifizierung	certification
Zeuge	witness
Ziegelstein	brick
Zielgruppe	target group
Zielkonflikt	conflict of aims
Zigarette	cigarette
Zigarre	cigar
Zink	zinc
Zinn	tin
Zins	interest
Zirkonium ; Zirconium	zirconium
Zirkulation	overturn (limnology)
Zitrone	lemon
Zivilluftverkehr	civil air traffic
Zivilrecht	civil law
Zivilschutz	civilian protection
Zoll ; Zollerhebung ; Zollgebühren	customs
Zolltarif	customs tariff
Zollvorschrift	customs regulation
Zoo ; Zoologischer Garten	zoological garden
Zoologie ; Tierkunde	zoology
Zoonose ; auf Menschen übertragbare Tierkrankheit	zoonosis
Zuchttechnik	breeding technique
Zucker	sugar
Zufahrtsstraße	access road
Zufluss	inflow
Zug	train
Zugang zu Verwaltungsdokumenten	access to administrative documents
Zugang zur Kultur	access to culture
Zugang zur Rechtspflege	access to the courts
Zugtier	draught animal
Zugvogel	migratory bird
Zulu	Zulu
Zumutbarkeit	reasonableness
Zuneigung	attachment
Zunge	tongue
Zusatzgerät	attachment
Zusatzstoff	additive
Zustimmung	assent
Zwei	two
Zweiflügler	dipteran
Zweirad ; Fahrrad	bicycle ; bike ; cycle
Zwiebel	onion
Zwilling	twin
Zwillinge	Gemini
Zwischenprodukt	intermediate goods
Zyklon	cyclone
Zypern ; Republik Zypern	Cyprus ; Republic of Cyprus
Zytologie	cytology
Zytotoxizität	cytotoxicity
Zölibat	celibacy
Züchtung	breeding
abgestelltes Fahrzeug ; Autowrack ; verlassenes Fahrzeug	abandoned vehicle ; car wreck
abiotische Umwelt	abiotic environment
abiotischer Faktor	abiotic factor
abschleifend	abrasive
absolut	absolutely
abwenden	avert
acht	eight
achten	attend
addieren	add
aerobe Behandlung	aerobic treatment
aerober Prozess	aerobic process
aerodynamisches Geräusch	aerodynamic noise
aggressiv ; angriffslustig ; kampfbegierig ; kampfeslustig ; kampfesfreudig ; kämpferisch	aggressive
agronomischer Wert	agronomic value
aktive Beteiligung	active participation
akustische Eigenschaft ; akustische Kenngröße	acoustic property
akustisches Wohlbefinden	acoustic comfort
alicyclische Verbindung ; alizyklische Verbindung	alicyclic compound
alicyclischer Kohlenwasserstoff	alicyclic hydrocarbon
aliphatische Verbindung	aliphatic compound
aliphatischer Kohlenwasserstoff	aliphatic hydrocarbon
alkalischer Boden	alkali soil
allgemein ; generell	general
allgemeine Chemie	general chemistry
allgemeine Verwaltungsmaßnahme	general administrative order
an das Ufer	ashore
anaerobe Behandlung	anaerobic treatment
anaerober Prozess	anaerobic process
analog	analogous
analytische Chemie	analytical chemistry
angepasste Technologie	appropriate technology
angereichertes Uran	enriched uranium
angewandte Ernährung ; angewandte Ernährungswissenschaft	applied nutrition
anorganische Chemie	inorganic chemistry
anorganische Substanzen ; anorganische Substanz	inorganic substance
anorganischer Schadstoff	inorganic pollutant
anpassen	arrange ; adapt ; adjust ; conform ; accommodate ; suit
anpassen ; angleichen	adjust
anthropogene Aktivität	anthropic activity
anthropogene Katastrophe ; menschengemachte Katastrophe	human-made disaster
anthropogener Klimawandel ; Klimaänderung (anthropogen)	man-made climate change
anthropologisches Reservat	anthropologic reserve
anziehen	attract
aquatische Umwelt	aquatic environment
aquatisches Ökosystem	aquatic ecosystem
archäologisch	archaeological
aromatische Verbindung	aromatic compound
aromatischer Kohlenwasserstoff	aromatic hydrocarbon
aschfahl	ashen
asymmetrisch	asymmetric ; asymmetrical
atmosphärische Korrektur	atmospheric correction
atmosphärische Verunreinigung ; Luftverschmutzung	atmospheric pollution
atmosphärische Zirkulation	atmospheric circulation
atmosphärischer Schwebstoff	atmospheric particulate
atmosphärischer Vorgang	atmospheric process
atmosphärisches Aerosol	atmospheric aerosol
atmosphärisches Ozon	atmospheric ozone
attraktiv	atractive
audiovisuelle Ausrüstung	audiovisual equipment
audiovisuelle Darstellung ; audiovisuelle Präsentation	audio-visual presentation
audiovisuelle Medien	audiovisual media
aufmerksam	attentive
aufnehmen	assimilate
ausgestorbene Art	extinct species
ausländisch ; fremd ; fremdländisch	foreign
autoritär	authoritarian
bakteriologische Verunreinigung	bacteriological pollution
bebaute Fläche	built-up area
begierig	avid
behandeltes Lebensmittel	processed foodstuff
beißend	acrid
belasten	debit
bemächtigen	usurp
benutzer ; Benutzer ; Anwender ; User	user
bergbauliches Erzeugnis	mining product
beruflicher Status	occupational status
beschämt	ashamed
besser	better
bestimmt	assertive
bestürzt	aback
besuchen	attend
beteuern	assert
betrieblicher Umweltschutz	environmental protection in the enterprise
betriebliches Rechnungswesen	management accounting
bibliographische Information	bibliographic information
bibliographisches Informationssystem	bibliographic information system
bilateral	bilateral
bilateraler Vertrag	bilateral convention
bildgebendes Filtern	image filtering
bioakkumulativer Schadstoff	bioaccumulative pollutant
biochemische Methode	biochemical method
biochemische Stoffe	biochemical substance
biochemischer Sauerstoffbedarf	biochemical oxygen demand
biochemischer Vorgang	biochemical process
biogeochemischer Kreislauf	biogeochemical cycle
biogeographische Region	biogeographical region
biologisch abbaubarer Schadstoff	biodegradable pollutant
biologisch nicht abbaubarer Schadstoff	non-biodegradable pollutant
biologische Abbaubarkeit	biodegradability
biologische Abfallbehandlung	biological waste treatment
biologische Abgasreinigung	biological waste gas purification
biologische Abwasserbehandlung	biological wastewater treatment
biologische Analyse	biological analysis
biologische Anpassung	ecological adaptation
biologische Behandlung	biological treatment
biologische Eigenschaft	biological attribute
biologische Entwicklung	biological development
biologische Kampfmittel	biological weapon
biologische Konkurrenz	competition
biologische Produktion	biological production
biologische Ressourcen	biological resource
biologische Schadstoffwirkung	biological effect of pollution
biologische Schädlingsbekämpfung	biological pest control
biologische Verunreinigung	biological contamination
biologische Verunreinigung	biological pollution
biologische Wirkung	biological effect
biologischer Abbau	biodegradation
biologischer Kreislauf	biological cycle
biologischer Landbau	organic farming
biologischer Schadstoff	biological pollutant
biologischer Vorgang	biological process
biologisches Erbe	biological heritage
biologisches Forstreservat	forest biological reserve
biologisches Schutzgebiet	biological reserve ; wildlife reserve
biotechnologische Gefahr	biotechnological hazard
biotischer Faktor	biotic factor
biotischer Index	biotic index
blau	blue
blenden	dazzle
blind	blind
botanischer Garten	botanical garden
botanisches Gewächshaus	botanical conservatory
breitere Begriffe ; Hyperonym ; Oberbegriff ; Überbegriffe ; Holonym ; Überbegriff ; breiterer Begriff ; allgemeinerer Begriff	broader term ; broader terms ; hypernym ; holonym
brennbarer Stoff	inflammable substance
brennbares Produkt	flammable product
bringen	bring
bûcheron ; Holzfäller ; Holzhacker ; Holzhauer	lumberjack
chemische Analyse	chemical analysis
chemische Aufbereitung	chemical treatment
chemische Dekontamination	chemical decontamination
chemische Industrie	chemical industry
chemische Kenngröße ; chemische Eigenschaft	chemical property
chemische Korrosivität	chemical corrosivity
chemische Reaktion	chemical reaction
chemische Schädlingsbekämpfung	chemical pest control
chemische Struktur	chemical structure
chemische Verunreinigung	chemical contamination
chemische Verunreinigungsmessung	chemical measurement of pollution
chemische Waffen	chemical weapon
chemische Zusammensetzung	chemical composition
chemischer Dünger	chemical fertiliser
chemischer Sauerstoffbedarf	chemical oxygen demand
chemischer Schadstoff	chemical pollutant
chemischer Vorgang	chemical process
chemisches Element ; Element	chemical element ; element
chemisches Produkt	chemical product
chromatographische Analyse	chromatographic analysis
danke	cheers ; thank you ; thanks
delegiertes Management	delegated management
demographische Entwicklung	demographic development
demographische Entwicklung	demographic evolution
deutsch	German
diffuse Quelle	diffuse source
diffuse Verschmutzung	diffuse pollution
digitale Bildverarbeitung	digital image processing technique
digitales Bildverarbeitungssystem	image processing digital system
digitales Geländemodell	digital land model
diskontinuierliches Verfahren	batch process
domestiziertes Tier	domesticated animal
drei	three
dunkel ; düster ; finster ; lichtlos	black ; dark
ehrgeizig	ambitious
eine Weile	awhile
einfach ; leicht	easy ; piece of cake ; like shooting fish in a barrel
einheimische Technologie	indigenous technology
einheimisches Wissen	indigenous knowledge
einhundert ; hundert	hundred
eins	one
einzelwirtschaftliches Ziel	goal of individual economic business
elektrische Batterie	electric battery
elektrische Leitung ; Stromleitung	electric line ; power line
elektronische Post	electronic mail ; email ; e-mail
elektronischer Datenaustausch	interchange of electronic data
elektronisches Informationsnetz ; Datennetz ; elektronisches Datennetz	electronic information network
elektronisches Material	electronic material
elektrotechnische Ausrüstung	electrotechnical equipment
elektrotechnische Industrie	electrotechnical industry
endemische Art	endemic species
endokrines System	endocrine system
energiebedingte Umweltbelastung	environmental impact of energy
engere Begriffe ; Hyponym ; Unterbegriff ; engerer Begriff	hyponym ; narrower terms ; narrower term
entbinden ; gebären	deliver
entwässerter Schlamm	dehydrated sludge
er	he
erneuerbare Energiequelle	renewable energy source
erneuerbare Ressourcen	renewable resource
erneuerbare Rohstoffe	renewable raw material
erreichen	attain
erstaunen	astonish
erstaunlich	astonishing
erstehen ; kaufen	buy ; purchase
erwerbstätige Bevölkerung	active population
essbar ; eßbar ; genießbar	edible
essen	eat
essen ; futtern ; speisen ; verschlingen	consume ; eat ; swallow
exakte Wissenschaft	exact science
explizite	explicit
extensive Viehzucht	extensive cattle farming
fast ; beinahe ; beinah ; nahezu ; annähernd	almost
fehlgeschlagen	abortive
feststellen	ascertain
fettleibig	fat ; obese
finanzielle Entschädigung	financial compensation
finanzielle Zuwendung	allowance
finanzieller Anreiz	incentive fund
finanzieller Beitrag	financial contribution
flexible Umweltschutzauflage	flexible approach to environmental protection
flüchtig ; vergänglich	ephemeral
flüchtiger Stoff	volatile substance
flüssiger Abfall	liquid waste
flüssiger Zustand	liquid state
forstwirtschaftliche Produktion	forest production
forstwirtschaftliches Erzeugnis	forest product
fossiler Brennstoff	fossil fuel
freier Kapitalverkehr	free movement of capital
fremd	strange ; odd
früh	early
fundamental ; grundlegend	fundamental
fünf	five
gasförmige Luftverunreinigungen	gaseous air pollutant
gasförmiger Zustand	gaseous state
gebaute Umwelt	built environment
gefährdete Pflanzenart	endangered plant species
gefährdete Tierart ; bedrohte Tierart	endangered animal species
gefährliche Anlage	dangerous installation
gefährlicher Abfall	hazardous waste
gefährlicher Arbeitsstoff	hazardous working material
geheim	secret
geheimnisvoll ; mysteriös ; geheimnisreich	mysterious
gehen ; gehen ; fahren ; fahren	go
gehorchen	obey
gelb	yellow
geltend machen	assert
gelöster Sauerstoff	dissolved oxygen
gelöster organischer Kohlenstoff	dissolved organic carbon
gemeinsame Regeln	common agreement
gemeinsame Umsetzung	joint implementation
gemischt	assorted
genehmigter Standort	registered site
genehmigungsbedürftige Anlage	installation requiring approval
genetische Information	genetic information
genetische Ressourcen	genetic resource
genetische Variation	genetic variation
genetische Vielfalt	genetic diversity
genetische Wirkung	genetic effect
gentechnisch veränderter Organismus	genetically modified organism
geogener Faktor	geogenic factor
geographisch kodierte Daten	geo-referenced data
geographisch kodierte Information	geo-referenced information
geographische Form	landform
geographische Projektion	geographical projection
geographische Verteilung der Bevölkerung	geographical distribution of population
geologische Katastrophe	geological disaster
geologischer Prozess	geological process
geometrische Korrektur	geometric correction
geomorphologischer Prozeß	geomorphic process
geophysikalische Umwelt	geophysical environment
gesamtwirtschaftliches Ziel	macroeconomic goal
geschützte Arten	protected species
geschützte Landschaft	protected landscape
gesundheitliche Auswirkung von Lärm	health effect of noise
gesundheitsbezogene Biotechnologie	health-related biotechnology
globale Aspekte	global aspect
globale Konvention	global convention
gregorianischer Kalender ; Gregorianischer Kalender	Gregorian calendar
griechisches Alphabet	Greek alphabet
groß	big ; large
großer Unfall	major accident
gute Verwaltung	good management
guten Abend	good evening
guten Appetit	enjoy your meal ; have a nice meal
günstig ; vielversprechend	auspicious
habgierig ; habsüchtig	avaricious
halogenierter Schadstoff	halogenated pollutant
harzhaltige Pflanze	resinous plant
heiztechnische Ausrüstung	thermal equipment
helfen	assist
hereingehen ; eintreten	enter
herkömmlich ; traditionell	traditional
herkömmliche Energie	conventional energy
hier	here
historische Entwicklung	historical evolution
historischer Standort ; historische Stätte	historical site
humanitäre Hilfe	humanitarian aid
hydroelektrische Energie	hydroelectric energy
hydrographisches Becken	hydrographic basin
hydrographisches Netz	hydrographic network
hängen an	attached
ich	I
ihr	y'all ; you ; you lot ; yous
immer ; jederzeit	anytime
in vitro-Test ; In-vitro-Test	in vitro assay
in vivo-Test ; In-vivo-Test	in vivo assay
in-situ	in situ
industriebedingte Umweltverschmutzung	industrial pollution
industrielle Entwicklung	industrial development
industrielle Fertigung	industrial manufacturing
industrielle Verfahren ; industrielles Verfahren	industrial process
industrieller Stoff	industrial material
internationaler Konflikt	international conflict
internationales Wirtschaftsrecht	international economic law
interplanetarer Weltraum ; interplanetarischer Raum ; Sonnensystem ; Weltraum	space ; space ; space (interplanetary) ; interplanetary space
ionisierende Strahlung	ionising radiation
ja ; jawohl ; jawohl ; jawoll ; jawoll	aye ; yeah ; yep ; yes
kanzerogener Stoff ; Karzinogen	carcinogen
kerntechnische Anlage	nuclear facility
kerntechnischer Unfall ; nuklearer Störfall	nuclear accident
kleiden	attire
kleiden ; ankleiden ; anziehen	dress ; clothe
klein ; klein ; kurz	short ; small
kleiner Finger	little finger ; pinkie
koffein ; Koffein ; Coffein ; Thein ; Tein	caffeine
kolloidaler Zustand	colloidal state
kommen	come
kommunale Umweltpolitik	municipal environmental policy
kommunale Umweltverträglichkeitsprüfung ; UVP (kommunal)	EIA (local)
kompostierbarer Abfall	compostable waste
konstruierte Sprache ; künstliche Sprachen ; künstliche Sprache	constructed language ; artificial language
kontrolliertes Abbrennen	controlled burning
kontrolliertes Jagdgebiet	controlled hunting zone
kosmische Strahlung	cosmic radiation
kulturelle Einrichtung	cultural facility
kulturelle Entwicklung	cultural development
kultureller Indikator	cultural indicator
kyrillisches Alphabet ; Kyrillisch	Cyrillic alphabet
kühn	audacious
künstliche Fortpflanzung	artificial reproductive technique
künstlicher Satellit	artificial satellite
künstlicher See	artificial lake
künstliches Entwässerungssystem	built drainage system
kürzen	abridge
lachen	laugh
landwirtschaftliche Nutzung	agricultural exploitation
landwirtschaftliche Unterbewertung	agricultural undervaluation
landwirtschaftliche Verschmutzung	agricultural pollution
landwirtschaftlicher Abfall	agricultural waste
landwirtschaftlicher Mischbetrieb	mixed farming
landwirtschaftlicher Wasserbau	agricultural hydraulics
landwirtschaftliches Abwasser	agricultural effluent
landwirtschaftliches Betriebsmittel	means of agricultural production
landwirtschaftliches Gerät	agricultural equipment
landwirtschaftliches Grundeigentum	agricultural real estate
landwirtschaftliches Verarbeitungserzeugnis	processed agricultural produce
lang ; hoch	long
langlebiges Gebrauchtsgut	durable goods
langsam	slow
leer	empty
lehren ; beibringen	teach
lernen	learn
lesen	read
lieben	love
lipophiler Stoff	lipophilic substance
listig	artful
ländlicher Raum	rural area
lärmarme Technik	noise-free technology
machbar	viable ; viable ; feasible
machen ; tun	do
makroskopisch	macroscopic
marine Aquakultur	mariculture
mathematische Analyse	mathematical analysis
