# German-English dictionary created from English Wiktionary
# Created on: 2011-03-24T07:35:12+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Rhombus'''	rhombus
Trinker	drunk
Trinkgeld	tip
Trinkwasser	drinking water
Trommel	drum
Trommelfell	eardrum
Trompete	trumpet
Tropfen	drop
Trugbild	mirage
Truhe	chest
Truthahn	turkey
Trägheit	sloth
Träne	tear
Tschad	Chad
Tschador	chador
Tscheche	Czech
Tschechien	Czechia
Tschechisch	Czech
Tschechische Republik	Czech Republic
Tschetschenisch	Chechen
Tsunami	tsunami
Tuberkulose	tuberculosis
Tugend	virtue
Tukan	toucan
Tulpe	tulip
Tundra	tundra
Tunesien	Tunisia
Turkmenistan	Turkmenistan
Turm	castle
Turm	rook
Turmfalke	common kestrel
Turmfalke	kestrel
Turnier	tournament
Turteltaube	turtle dove
Tuvalu	Tuvalu
Tänzer	dancer
Tätowierung	tattoo
Töpfer	potter
Tümmler	porpoise
Tür	door
Türke	Turk
Türkei	Turkey
Türkis	turquoise
Türkisch	Turkish
U-Bahn	subway
UFO	UFO
UdSSR	USSR
Ufer	shore
Ufer	bank
Uganda	Uganda
Uhr	clock
Uhr	watch
Uhrzeit	time
Uhu	eagle owl
Ukraine	Ukraine
Ukrainer	Ukrainian
Ukrainisch	Ukrainian
Ulme	elm
Ulrike	Ulrica
Uluru	Ayers Rock
Uluru	Uluru
Umarmung	hug
Umfang	circumference
Umfeld	environment
Umgangssprache	vernacular
Umgebung	environment
Umlaufbahn	orbit
Umweltverschmutzung	pollution
Unabhängigkeit	independence
Unbibium	unbibium
Unbinilium	unbinilium
Unbiunium	unbiunium
Unfruchtbarkeit	infertility
Ungar	Hungarian
Ungarisch	Hungarian
Ungarn	Hungary
Ungläubige	infidel
Unglück	misfortune
Unicode	Unicode
Uniform	uniform
Union	union
Union der Sozialistischen Sowjetrepubliken	Union of Soviet Socialist Republics
Universität	school
Universität	university
Unkraut	weed
Unordnung	chaos
Unsere Liebe Frau	Our Lady
Unsterblichkeit	immortality
Unterbegriff	hyponym
Unterhose	pants
Unterhose	underpants
Unterlassung	omission
Untermenge	subset
Unternehmen	corporation
Unterschied	difference
Unterschlagung	embezzlement
Unterseeboot	submarine
Untertan	subject
Ununennium	ununennium
Ununhexium	ununhexium
Ununpentium	ununpentium
Ununquadium	ununquadium
Ununseptium	ununseptium
Ununtrium	ununtrium
Unze	ounce
Uranus	Uranus
Urgroßvater	great-grandfather
Urheberrecht	copyright
Urin	urine
Urin	piss
Urindogermanisch	Proto-Indo-European
Urlaub	holiday
Urlaub machen	vacation
Ursache	reason
Urslawisch	Old Slavonic
Urslawisch	Common Slavonic
Ursprung	origin
Urteil	sentence
Uruguay	Uruguay
Usbekistan	Uzbekistan
Utopie	utopia
Vakuum	vacuum
Vampir	vampire
Vanadium	vanadium
Vancouver	Vancouver
Vandale	vandal
Vandalismus	vandalism
Vanille	vanilla
Vanuatu	Vanuatu
Variable	variable
Variationsrechnung	calculus of variations
Vase	vase
Vater	father
Vaterland	fatherland
Vatikanstadt	Vatican City
Veilchen	violet
Vektor	vector
Venedig	Venice
Venezuela	Venezuela
Ventilator	fan
Venus	Venus
Verachtung	contempt
Veranda	verandah
Verantwortung	responsibility
Verbeugung	bow
Verbindung	link
Verbrechen	crime
Verbrennung	burn
Verbrennungsmotor	internal combustion engine
Verdauung	digestion
Vereinbarung	agreement
Vereinigte Arabische Emirate	United Arab Emirates
Vereinigte Staaten von Amerika	United States of America
Vereinigtes Königreich	United Kingdom
Vereinte Nationen	United Nations
Verfassung	constitution
Verfolgung	chase
Vergangenheit	past
Vergangenheit	past tense
Vergessenheit	oblivion
Vergewaltigung	rape
Vergissmeinnicht	forget-me-not
Vergnügen	pleasure
Verhalten	behavior
Verhalten	behaviour
Verhandlung	negotiation
Verhungern	starvation
Verhör	trial
Verkauf	sale
Verkaufsautomat	vending machine
Verkehr	traffic
Verknüpfung	link
Verkäufer	salesman
Verkäufer	salesperson
Verlauf	history
Verletzung	injury
Verletzung	violation
Verletzung	wound
Verleumdung	defamation
Verleumdung	slander
Verlies	dungeon
Verlobter	fiancé
Vermutung	guess
Vernachlässigung	neglect
Verpacken	boxing
Versprechen	promise
Verstand	mind
Verstand	reason
Verstand	brain
Versteckspiel	hide and seek
Versteigerung	auction
Verstorbene	deceased
Versuch	trial
Versuchung	temptation
Vertrag	contract
Vertrag	agreement
Vertrag	treaty
Verurteilung	sentence
Verwalter	administrator
Verwaltung	management
Verwandte	relative
Verwandtschaft	relationship
Verwandtschaft	kinship
Verzeichnis	catalogue
Verzicht	abdication
Verzierung	ornament
Vibrant	trill
Victoria	Victoria
Vieh	livestock
Vieleck	polygon
Vielfalt	complexity
Viereck	quadrilateral
Viertaktmotor	four-stroke engine
Viertel	quarter
Vietnam	Vietnam
Vietnamese	Vietnamese
Vietnamesisch	Vietnamese
Viktoria	Victoria
Vinzenz, Vincent	Vincent
Violett	violet
Virologie	virology
Virtuelle Realität	virtual reality
Virtuose	virtuoso
Virus	virus
Visier	sight
Visitenkarte	business card
Visum	visa
Vogel	bird
Vogelscheuche	scarecrow
Vokal	vowel
Vokativ	vocative case
Vokativ	vocative
Volk	people
Volksrepublik China	People's Republic of China
Volleyball	volleyball
Vollmond	full moon
Volt	volt
Volumen	volume
Vorfall	occurrence
Vorhandensein	availability
Vorhängeschloß	padlock
Vorname	first name
Vorname	given name
Vorrat	stock
Vorsitzender	chairman
Vorteil	advantage
Vorurteil	prejudice
Votisch	Votic
Vulgärlatein	Vulgar Latin
Vulkan	volcano
Völkermord	genocide
WC	toilet
Waage	scales
Waage	balance
Waage	scale
Waage	Libra
Wache	watch
Wacholder	juniper
Wachs	wax
Wachsamkeit	vigilance
Wachtel	quail
Wade	calf
Waffe	weapon
Waffe	arm
Waffenstillstand	armistice
Wagen	car
Wagen	waggon
Wagen	wagon
Wahl	choice
Wahl	election
Wahnsinn	insanity
Wahrheit	truth
Waise	orphan
Wal	whale
Walachei	Wallachia
Wald	forest
Wald	woods
Waldhorn	horn
Waldkauz	tawny owl
Waldohreule	long-eared owl
Walnuss	walnut
Walnussbaum	walnut
Walross	walrus
Wand	wall
Wanderfalke	peregrine falcon
Wange	cheek
Wann	when
Wanze	bug
Wanze	bedbug
Wappen	coat of arms
Warschau	Warsaw
Wartezimmer	queue
Warze	wart
Warzenschwein	warthog
Waschbecken	washbasin
Waschbär	raccoon
Wasser	water
Wasser-	aquatic
Wasserfall	waterfall
Wasserflugzeug	seaplane
Wassermann	Aquarius
Wassermelone	watermelon
Wasserstoff	hydrogen
Wasservogel	waterfowl
Weber	weaver
Webfarben	web colors
Website	web site
Wechselgeld	change
Wecker	alarm clock
Weg	way
Weibchen	female
Weiche	switch
Weichtier	mollusc
Weide	willow
Weihnachten	Christmas
Weihnachtsbaum	Christmas tree
Weile	while
Wein	wine
Weinberg	vineyard
Weintraube	grape
Weise	way
Weisheitszahn	wisdom tooth
Weizen	wheat
Weiß	white
Weiße	white
Weiße Haus	White House
Weißer Zwerg	white dwarf
Weißrussisch	Belarusian
Weißrussisch	Belorussian
Weißrussische SSR	Byelorussian SSR
Weißrussland	Belarus
Weißwein	white wine
Welle	wave
Welpe	puppy
Wels	catfish
Weltkrieg	world war
Weltraum	space
Werkzeug	tool
Werkzeug	instrument
Wermut	absinth
Wert	worth
Wert	value
Werwolf	werewolf
Wesir	vizier
Wespe	wasp
West	west
Westeuropa	Western Europe
Westsahara	Western Sahara
Wettbewerb	competition
Wette	bet
Wetter	weather
Whisky	whiskey
Whisky	whisky
Wichtigtuer	busybody
Widder	Aries
Widerstand	resistance
Widerstand	resistor
Wie der Vater, so der Sohn	like father, like son
Wie geht es dir	how are you
Wie heißen Sie	what is your name
Wie heißt du	what's your name
Wiederkäuer	ruminant
Wiege	cradle
Wien	Vienna
Wiese	meadow
Wiesel	least weasel
Wiki	wiki
Wikimedia	Wikimedia Foundation
Wikipedia	Wikipedia
Wiktionary	Wiktionary
Wildschwein	wild boar
Wildschwein	boar
Wilhelm	William
Wille	will
Wimper	eyelash
Wind	wind
Windel	diaper
Winkel	angle
Winter	winter
Wirbel	vertebra
Wirbeltier	vertebrate
Wird es regnen	Is it going to rain?
Wirklichkeit	reality
Wirksamkeit	efficacy
Wirtschaft	economy
Wisent	European bison
Wisent	wisent
Wissen	knowledge
Wissen	science
Wissenschaft	science
Wissenschaftler	scientist
Witwe	widow
Witz	pun
Witz	joke
Wo	where
Woche	week
Wochenende	weekend
Wodka	vodka
Wohnsitz	residence
Wohnung	apartment
Wohnzimmer	living room
Wolf	wolf
Wolfram	tungsten
Wolke	cloud
Wolkenkratzer	skyscraper
Wollastonit	wollastonite
Wolle	wool
Wort	word
Wunde	wound
Wunder	miracle
Wunder	wonder
Wunsch	wish
Wurm	worm
Wurst	sausage
Wurzel	root
Wut	rage
Wächter	guard
Währung	currency
Wärmeenergie	heat
Wörter	Wiktionary:Votes/2007-10/Lemma entries/words
Wörterbuch	dictionary
Würfel	die
Würfel	cube
Würstchen	sausage
Wüste	desert
Xenon	xenon
Xenophobie	xenophobia
Xylophon	xylophone
Yacht	yacht
Yak	yak
Yamswurzel	yam
Yttrium	yttrium
Zahl	numeral
Zahl	number
Zahn	tooth
Zahnarzt	dentist
Zahnbürste	toothbrush
Zahnfleisch	gum
Zahnpasta	toothpaste
Zahnstocher	toothpick
Zange	pliers
Zange	tongs
Zapfen	faucet
Zar	czar
Zar	tzar
Zar	tsar
Zarin	tsarina
Zauberer	wizard
Zauberspruch	spell
Zauberstab	magic wand
Zaun	fence
Zebra	zebra
Zecke	tick
Zeder	cedar
Zeh	toe
Zehn	ten
Zeichen	sign
Zeichen	mark
Zeichenstift	crayon
Zeigefinger	forefinger
Zeiger	hand
Zeile	row
Zeit	time
Zeit	age
Zeit	tense
Zeitschrift	magazine
Zeitung	newspaper
Zeitungspapier	newspaper
Zeitwort	verb
Zelkove	zelkova
Zelle	cell
Zellulose	cellulose
Zelt	tent
Zentimeter	centimetre
Zentralafrikanische Republik	Central African Republic
Zenturie	century
Zeugnis	testimony
Ziege	goat
Ziehharmonika	concertina
Ziel	goal
Ziel	objective
Ziel	aim
Ziffer	digit
Ziffer	figure
Zigarette	cigarette
Zigarre	cigar
Zigeuner	gypsy
Zigeuner	Gypsy
Zikade	cicada
Zimmermann	carpenter
Zimt	cinnamon
Zimtbaum	cinnamon
Zink	zinc
Zinn	tin
Zinn-	tin
Zins	interest
Zirbeldrüse	pineal gland
Zirkel	pair of compasses
Zirkel	circle
Zirkon	zirconium
Zitat	quotation
Zither	zither
Zitrone	lemon
Zitronenmelisse	lemon balm
Zitze	tit
Zobel	sable
Zoll	inch
Zoll	duty
Zone	zone
Zoo	zoo
Zoologie	zoology
Zorn	wrath
Zoroastrismus	Zoroastrianism
Zucker	sugar
Zuckerrohr	sugar cane
Zuckerrübe	sugar beet
Zuckerwatte	cotton candy
Zufügung	addition
Zug	train
Zugang	access
Zuhälter	pimp
Zukunft	future
Zunge	tongue
Zungenkuss	french kiss
Zurückgezogenheit	privacy
Zusammenfassung	summary
Zusammenstoß	wreck
Zusatz	addition
Zustand	state
Zustimmung	approval
Zustimmung	consent
Zutritt	entrance
Zweck	purpose
Zwei	two
Zweifel	doubt
Zweigstelle	branch
Zweiter Weltkrieg	World War II
Zwerg	dwarf
Zwergplanet	dwarf planet
Zwiebel	onion
Zwielicht	twilight
Zwilling	twin
Zwillinge	Gemini
Zyklus	cycle
Zylinder	cylinder
Zypern	Cyprus
Zypresse	cypress
Zöliakie	coeliac disease
Zügel	rein
Zündkerze	spark plug
abchasische Sprache	Abkhazian
aber	but
aber	only
abfeuern	fire
abgekürzt	abbreviated
abgelegen	remote
abonnieren	subscribe
abprallen	skim
abrupt	abrupt
abschaffen	abolish
absolut	absolute
abspritzen	cum
abspritzen	jerk off
abstrakt	abstract
absurd	absurd
abwesend	absent
acht	eight
achte	eighth
achtundachtzig	eighty-eight
achtunddreißig	thirty-eight
achtundfünfzig	fifty-eight
achtundneunzig	ninety-eight
achtundsechzig	sixty-eight
achtundvierzig	forty-eight
achtundzwanzig	twenty-eight
achtzehn	eighteen
achtzig	eighty
ad hoc	ad hoc
addieren	add
adjektivisch	adjective
adjektivisch	adjectival
adäquat	adequate
afghanisch	Afghan
aggressiv	aggressive
akkadische	Akkadian
aktivieren	activate
akzeptieren	accept
albanisch	Albanian
albino	albino
algerisch	Algerian
alkoholisch	alcoholic
all	all
alle	each
allein	alone
allerdings	indeed
alles	everything
alles Gute zum Geburtstag	happy birthday
allgegenwärtig	ubiquitous
allgemein	universal
alphabetisch	alphabetical
alphabetisch	alphabetic
als	than
als	as
als	once
also	thus
alt	old
alt werden	age
amerikanisch	American
an	at
an	on
an Sankt Nimmerlein	when pigs fly
anachronistisch	anachronistic
analog	analogue
anbieten	offer
andere	other
anders	different
anfangen	begin
anflehen	beg
angemessen	proper
angenehm	pleasant
anhalten	stop
anime	anime
anklagend	accusatory
annehmbar	acceptable
annehmen	suppose
annehmen	accept
anpassen	adjust
anrufen	phone
ansteuern	head
antik	ancient
anwesend	present
anzünden	light
anzünden	set on fire
arabisch	Arabic
arabisch	Arab
arbeiten	work
arbiträr	arbitrary
archaisch	archaic
archivieren	archive
argentinisch	Argentinian
arm	poor
armenisch	Armenian
armselig	poor
arrangieren	arrange
arrogant	arrogant
au	ouch
auch	also
auch	too
auf	on
auf	open
auf Wiedersehen	goodbye
aufgeben	quit
aufgeben	forsake
aufhören	quit
aufhören	stop
aufhören	cease
auflösen	resolve
aufrichtig	sincere
aufrollen	roll
aufsaugen	absorb
aufstehen	stand
aufteilen	divide
aufwachen	awake
aufwecken	awake
aufziehen	breed
aus	exit
aus	concrete
aus	of
aus Fleisch und Blut	in the flesh
aus einer Mücke einen Elefanten machen	make a mountain out of a molehill
ausgeben	spend
ausgezeichnet	excellent
ausleeren	feceate
ausländisch	foreign
ausnutzen	exploit
ausspionieren	spy
aussprechen	pronounce
australisch	Australian
auswählen	choose
auswählen	select
ausziehen	undress
autokratie	autocracy
autonom	autonomous
außer	but
außerdem	moreover
außerirdisch	extraterrestrial
außerordentlich	extraordinary
aß	ate
backgammon	backgammon
bald	soon
banal	banal
bankrott	bankrupt
barfuß	barefoot
baskisch	Basque
bass	bass
bauen	build
beabsichtigen	mean
bearbeiten	edit
bedauern	regret
bedeuten	mean
bedeutungslos	insignificant
beeilen	let's go
beenden	end
beenden	finish
beenden	complete
befehlen	order
befeuchten	wet
befreien	free
befördern	promote
behaart	hairy
beharren	persist
bei	by
beide	both
beige	beige
beinahe	nearly
beißen	bite
bekommen	get
bekommen	receive
bekämpfen	fight
belagern	siege
belarussisch	Belarusian
belegtes Brot	sandwich
beleuchten	light
belgisch	Belgian
beliebt	popular
bellen	bark
bemalen	paint
benennen	name
benutzen	use
benötigen	need
beobachten	observe
beobachten	watch
berauscht	high
bereit	ready
bereits	already
berichten	report
berichtigen	right
berühren	touch
beschimpfen	scold
beschleunigen	accelerate
beschränken	restrict
beschuldigen	accuse
beschädigen	damage
beschämen	abash
beschützen	shield
besitzanzeigende Fürwort	possessive pronoun
besitzen	own
besitzen	possess
besorgen	get
besorgt sein	worry
besser	better
bestehen	exist
bestehen	stand
bestellen	order
bestimmte Artikel	definite article
bestrafen	punish
beständig	permanent
besuchen	visit
beten	pray
betrachten	behold
betrunken	drunk
beträchtlich	vast
betrügen	deceive
betteln	beg
betten	embed
bevor	before
bewegen	move
beweglich	mobile
bewusst	conscious
bezahlen	pay
bezahlen	foot
bezweifeln	doubt
billig	cheap
billig	inexpensive
bin	am
binden	tie
binnen-	landlocked
biologisch	biological
bis	until
bis	till
bis dahin	hitherto
bist	are
bitte	please
bitte	you're welcome
bitten	ask
bitter	bitter
blasen	blow
blasen	give a blowjob
blau	blue
blau	azure
bleiben	remain
bleifrei	unleaded fuel
bleifrei	unleaded
blind	blind
bluten	bleed
blutig	bloody
blühen	flower
bombardieren	bomb
borgen	borrow
brasilianisch	Brazilian
braten	fry
braun	brown
brechen	break
breit	wide
bremsen	brake
brennen	burn
brennen	fire
bretonisch	Breton
bringen	bring
buchen	book
buchstabieren	spell
bulgarisch	Bulgarian
bunt	gay
böse	evil
böse	bad
böse	wicked
bügeln	iron
chemisch	chemical
chinesisch	Chinese
chocolat	chocolate
cholera	cholera
christlich	Christian
d. h.	i.e.
dagegen sein	object
daher	hence
danach	then
dankbar sein für	appreciate
danke	thank you
danke	thanks
danke schön	thank you very much
danken	thank
dann	then
darstellen	represent
das Gute	good
das Sein	being
das Wesen	being
das kommt mir Spanisch vor	it's all Greek to me
dass	that
debattieren	debate
decken	cover
defäkieren	defecate
demokratisch	democratic
demonstrieren	protest
den	that
den Löffel abgeben	kick the bucket
den ganz	all
denken	think
denn	for
deodorant	deodorant
der	the
der	who
der Beginn	start
der Einbruch der Nacht	nightfall
der Heilige Gral	Holy Grail
der Merkur	Mercury
der Skorpion	Scorpius
der Skorpion	Scorpio
der seine	his
derselbe	same
desertieren	desert
dessen	whose
deutsch	German
dick	fat
dick	thick
die Chinesen	Chinese
die Franzosen	French
die Färöer	Faroe Islands
die Klappe	can
die Niederlande	Netherlands
die Spanier	Spanish
die USA	USA
die meisten	most
dies	this
diese	these
dieser	that
diskutieren	discuss
doch	yes
donnern	thunder
doppeldeutig	ambiguous
doppelt	double
dort	there
dorthin	there
dorthin	thither
drastisch	drastic
drei	three
dreimal	thrice
dreiundachtzig	eighty-three
dreiunddreißig	thirty-three
dreiundfünfzig	fifty-three
dreiundneunzig	ninety-three
dreiundsechzig	sixty-three
dreiundsiebzig	seventy-three
dreiundvierzig	forty-three
dreiundzwanzig	twenty-three
dreizehn	thirteen
dreizehnte	thirteenth
dreißig	thirty
dringend	urgent
dritte	third
dritte Person	third person
drucken	print
drücken	push
drücken	press
du	thou
du selbst	yourself
dumm	stupid
dunkel	dark
durchdringen	penetrate
durchführbar	feasible
durchsuchen	search
durstig	thirsty
duschen	shower
dänisch	Danish
dürfen	may
eben	even
echt	true
ehemalig	former
ehrlich	honest
eifrig	diligent
eigen	own
eigentlich	virtual
eigentlich	actually
eilen	accelerate
eilen	hurry
ein	an
einfach	simple
einfach	just
einfrieren	freeze
einfügen	include
einheimisch	native
einige	some
einkaufen	shop
einkreisen	circle
einmachen	can
einmal	once
einschäumen	lather
einsperren	imprison
einsperren	incarcerate
einstellen	employ
eintragen	record
einundachtzig	eighty-one
einunddreißig	thirty-one
einundfünfzig	fifty-one
einundneunzig	ninety-one
einundsechzig	sixty-one
einundsiebzig	seventy-one
einundvierzig	forty-one
einundzwanzig	twenty-one
einzeln	separate
einzig	only
einzigartig	unique
eisern	iron
eitrig	pussy
elegant	elegant
elender	worm
elf	eleven
elfhundert	eleven hundred
elfte	eleventh
empfangen	receive
empfehlen	recommend
empfindlich	tender
enden	end
eng	narrow
englisch	English
entbinden	absolve
entdecken	discover
entfachen	stir up
entfernen	remove
entfernen	distance
entführen	abduct
enthüllen	reveal
entschuldigen Sie bitte	sorry
entsprechend	according to
entspringen	spring
entstehen	arise
er	he
er selbst	himself
erden	earth
erfahren	experience
erfrischen	refresh
ergo	ergo
ergreifen	seize
erhöht	temperature
erhöhte neue Version	enhanced remake
erinnern	remind
erkennen	recognize
erkennen	realize
erklären	declare
erklären	explain
erlangen	obtain
erleuchtet	light
ermorden	murder
ermutigen	encourage
ernennen	name
erneut	again
erniedrigen	abase
ernst	serious
ernsthaft	serious
erotisch	erotic
errant	errant
erröten	Template:color-colour (verb)
erschaffen	create
erschrecken	scare
erschweren	hinder
ersetzen	substitute
ersetzen	replace
erstarren	freeze
erste	first
ertragen	bear
ertrinken	drown
erzählen	tell
es	it
es tut mir Leid	sorry
es war einmal	once upon a time
es/da ist (''plural'' es/da sind); or es gibt	there is
essbar	edible
essen	eat
estnisch	Estonian
etc	etc.
ethnische Säuberung	ethnic cleansing
etwas	something
etwas	a little
euklidische Geometrie	Euclidean geometry
europäisch	European
evakuieren	evacuate
ewig	eternal
fad	dull
fahren	ride
fahren	drive
fallen	fall
falls	if
falsch	false
falsch	wrong
falsche Bezeichung	misnomer
falten	fold
fast	almost
fasten	fast
faul	lazy
faul	rotten
faulen	decay
fegen	sweep
feige	yellow
feilen	file
fern	far
fertig	ready
fest	solid
festnageln	nail
fett	bold
fettleibig	obese
feucht	moist
feuern	fire
ficken	fuck
finden	find
finnisch	Finnish
fischen	fish
flach	flat
fliegen	fly
fliegende Untertasse	flying saucer
fließen	flow
fließend	fluent
fluchen	curse
flüchtig	ephemeral
flüssig	liquid
flüstern	whisper
folgen	follow
folgend	subsequent
fotografieren	photograph
fragen	ask
französisch	French
frei	free
frei	vacant
freie Meinungsäußerung	freedom of speech
fremd	strange
fremd	foreign
freundlich	nice
freundlich	kind
friesisch	Frisian
frisch	fresh
froh	glad
frohe Ostern	Happy Easter
fröhlich	gay
früher	once
frühstücken	breakfast
funktionieren	function
funktionieren	work
furchtbar	terrible
furchtsam	timid
furzen	fart
fähig	able
färben	Template:color-colour (verb)
färben	dye
fügsam	docile
führen	head
führen	lead
führen	lead/experiment2
führen	lead/experiment
füllen	fill
fünf	five
fünfhundert	five hundred
fünfte	fifth
fünfundachtzig	eighty-five
fünfunddreißig	thirty-five
fünfundfünfzig	fifty-five
fünfundneunzig	ninety-five
fünfundsechzig	sixty-five
fünfundsiebzig	seventy-five
fünfundvierzig	forty-five
fünfundzwanzig	twenty-five
fünfzehn	fifteen
fünfzehnte	fifteenth
fünfzig	fifty
für	for
fürchten	fear
füttern	feed
ganz	complete
ganze Zahl	integer
garantieren	guarantee
geben	give
geben Sie mir	give me
geboren	born
gebären	bear
geduldig	patient
gefallen	please
gefrieren	freeze
gefährlich	dangerous
gegen	against
gegen	anticlockwise
gegen	versus
gegenwärtig	present
gegenwärtig	actual
gegenwärtig	current
gegenüberliegend	opposite
geheim	secret
gehen	go
gehen wir	let's go
gehorsam	obedient
geil	horny
geistig	spiritual
gekochte	cooked
gelb	yellow
gelegentlich	occasional
gelegentlich	occasionally
gemein	mean
gemeinsam	common
genau	exactly
genetisch	genetic
genitivisch	genitive
genug	enough
genügend	sufficient
geordnetes Paar	ordered pair
georgisch	Georgian
gerade	right
gerade	straight
gerade	even
gerade	just
gerade	line
geringfügig	slight
german	english
gern	willingly
geschehen	happen
geschlossen	closed
gestern	yesterday
gestern Abend	last night
gesund	well
gewöhnlich	ordinary
gewöhnlich	usual
gierig	greedy
gießen	water
gießen	pour
giftig	poisonous
giftig	toxic
glatt	smooth
gleichen	resemble
gleichförmig	uniform
gleichzeitig	simultaneously
gleichzeitig	simultaneous
gleiten	slide
globale Erwärmung	global warming
glänzend	splendid
glücklich	happy
glücklich	lucky
glücklich	luckily
golden	gold
golden	or
goldig	cute
googeln	google
grafische Benutzeroberfläche	graphical user interface
gratis	gratis
gratulieren	congratulate
grau	grey
grausam	cruel
griechisch	Greek
grob	rude
grob	coarse
groß	big
groß	large
groß	great
große Zehe	big toe
große vereinheitlichte Theorie	grand unification theory
grundsätzlich	cardinal
grün	green
grün	vert
grünschnäblig	green
gut	good
gut	well
gute Nacht	good night
guten	good afternoon
guten Abend	good evening
guten Appetit	bon appétit
guten Morgen	good morning
guten Tag	good day
gähnen	yawn
gültig	valid
haben	have
hageln	hail
haken	hook
hallo	hello
hallo	hi
halt	enough
halten	think
handeln	act
hart	hard
hassen	hate
hau ab	get lost
hauptsächlich	principal
hauptsächlich	main
heben	raise
hebräisch	Hebrew
heiraten	marry
heiß	hot
heißen	call
helfen	help
helfen	aid
hell	light
hell	pale
hell	bright
herausgeben	publish
hereingehen	enter
herunterladen	download
herunterschlingen	wolf
heterogen	heterogeneous
heute	today
heute	tonight
heute	nowadays
heute Abend	tonight
heutzutage	today
hier	here
hierher	here
hierher	hither
hindern	hinder
hinnehmen	accept
hinter	hinder
hinter	behind
hinzufügen	add
hobeln	plane
hoch	high
hochklassig	quality
hoffen	hope
homogen	homogeneous
homosexuell	gay
homosexuell	homosexual
hundert	hundred
hungrig	hungry
husten	cough
hässlich	ugly
häufig	often
häufig	frequent
höflich	polite
höher	superior
hören	listen
hören	hear
hübsch	pretty
hübsch	handsome
hüpfen	skip
ich	I
ich auch	me too
ich heiße	my name is
ich selbst	myself
ich verstehe nicht	I don't understand
ich weiß nicht	I don't know
ideales Gas	ideal gas
if thicker: Borke	bark
ihm	him
ihr	her
ihr	their
ihr	y'all
im Uhrzeigersinn	clockwise
im Wert steigen	appreciate
imaginäre Zahl	imaginary number
immer	always
imstande	able
in	in
in	within
in	bottle
in Person	in person
in- und auswendig	inside out
indianisch	Indian
indisch	Indian
indonesisch	Indonesian
intelligent	bright
interessant	interesting
international	international
irakisch	Iraqi
irgendjemand	anyone
irgendwo	somewhere
irisch	Irish
islamisch	Islamic
isländisch	Icelandic
israelisch	Israeli
ist	is
italienisch	Italian
ja	yes
ja	yeah
jagen	chase
jagen	hunt
japanisch	Japanese
jeder	every
jedoch	however
jemand	someone
jemand	somebody
jetzt	now
jung	young
juristisch	legal
jährlich	annual
jährlich	yearly
jüdisch	Jewish
jüngst	recent
kahl	bald
kalkulieren	calculate
kalt	cold
kalte Fusion	cold fusion
kaltherzig	cold
kanadisch	Canadian
kapieren	get
kaputtgehen	break
kaputtmachen	break
katalanisch	Catalan
kauen	chew
kaufen	buy
kaum	hardly
kein	no
keine	none
keltisch	Celtic
kennen	know
kickeriki	cock-a-doodle-doo
kitzeln	tickle
klammheimlich	clandestine
kleben	stick
kleiden	dress
klein	small
klein	little
kleine Trommel	snare drum
kleiner Finger	little finger
klettern	climb
klingen	sound
klopfen	knock
knien	kneel
kochen	cook
komfortabel	comfortable
komisch	funny
kommen	come
kommunistisch	communist
konfiszieren	confiscate
konkret	concrete
kontaktieren	contact
kontrollieren	control
konvertible Mark	convertible mark
konvex	convex
kopieren	copy
koreanisch	Korean
kostbar	precious
krank	sick
kratzen	scratch
kreisen	circle
kreuzen	cross
kriechen	creep
kriminell	criminal
kroatisch	Croatian
kupfern	copper
kurieren	cure
kurz	brief
kyrillisch	Cyrillic
kämpfen	fight
königlich	royal
können	can
könnte	can
köstlich	delicious
kühl	cool
künftig	henceforth
küssen	kiss
lachen	laugh
landen	land
lang	long
langsam	slow
langsam	slowly
langweilig	boring
lassen	leave
lateinamerikanisch	Latin
lateinisch	Latin
lateinisches Alphabet	Latin alphabet
latinisch	Latin
laufen	walk
lauschen	listen
laut	according to
lauwarm	lukewarm
leben	live
leben	dwell
lebend	live
lebendig	alive
lebenslänglich	life
lebenswichtig	vital
lebhaft	bright
lecken	lick
lecker	sweet
leer	empty
leere Menge	empty set
leeren	empty
legal	legal
legen	lay
lehren	teach
leicht	easy
leicht	light
leiden	suffer
leider	unfortunately
leihen	lend
lenken	channel
lesen	read
leserlich	legible
leuchten	shine
lieben	love
lieblich	sweet
liegen	lie
lineare Algebra	linear algebra
link	left
litauisch	Lithuanian
loben	praise
lol, lal	lol
loslassen	release
lächeln	smile
lächerlich	ridiculous
ländlich	country
läuten	ring
lüften	air
lügen	lie
magenta	magenta
magnetisch	magnetic
mahlen	grind
malen	paint
man	they
man	one
man	you
manchmal	sometimes
manuell	manual
marschieren	march
maschinelle Übersetzung	machine translation
massig	bulky
masturbieren	masturbate
mein	my
mein Gott	oh my God
meinen	mean
melancholisch	melancholy
melken	milk
menschlich	human
metallisch	metal
metrosexuell	metrosexual
miau	meow
miauen	meow
mich	me
mieten	rent
mild	mild
minderwertig	shoddy
mindestens	at least
minus	minus
mir	me
mir geht's gut, danke	I'm fine, thank you
mischen	mix
missbrauchen	abuse
missverstehen	mistake
mit	with
mit	happy
mit	butter
mit	by
