# French-English dictionary created from OmegaWiki database
# Created on: 2011-03-22T11:10:01+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADN ; acide désoxyribonucléique	DNA ; deoxyribonucleic acid
recette	recipe
recherche	research
recherche appliquée	applied research
recherche bibliographique	literature study
recherche des effets	research of the effects
recherche en laboratoire	laboratory research
recherche historique	historical research
recherche interdisciplinaire	interdisciplinary research
recherche météorologique	meteorological research
recherche scientifique	scientific research
recherche sur l'environnement et développement	environmental research
recherche sur les écosystèmes	ecosystem research
recommandation	recommendation
reconnaissance de formes	pattern recognition
reconnaissant	appreciate
recours	redress
recours judiciaire	legal remedy
recyclabilité	recyclability
recyclage	recycling
recyclage des résidus	residue recycling
refroidissement	cooling
refuge des oiseaux	bird sanctuary
registre des émissions	emission register
rein	kidney
reine	queen
rejet accidentel d'organismes	accidental release of organisms
rejet dans l'eau	emission to water
rejet en mer	ocean dumping
relation Nord-Sud	North-South relationship
relation coûts-bénéfices	cost-benefit
relation de cause à effet	cause-effect relation
relation dose-effet	dose-effect relationship
relation internationale	international relations
relation interraciale	race relations
relation monétaire	monetary relations
relation publique	public relations
relation santé-environnement	health-environment relationship
relations Est-Ouest	East-West relations
relations Terre-Soleil	Earth-Sun relationship
relations internationales pour l'environnement	international environmental relations
relations économiques extérieures	foreign economic relations
relief	relief (land)
relief	landform
religion	religion
relogement	rehousing
remblayage de mines	mine filling
remembrement	land consolidation
remerciement	thank you
remise en mouvement des polluants	pollutant remobilisation
remise en état de sites miniers	mining site restoration ; mine reclamation
remodelage de terrain	land forming
renaissance	renaissance
rendement	yield
rendement de pêche	catch yield
renforcement de digue	dyke reinforcement
renne	reindeer
reporter	journalist
reproduction	reproduction
reproduction animale	animal reproduction
reproduction végétale	plant reproduction
représentation	representation
reptile ; reptile ; reptile	reptile ; reptile ; reptile
requin	shark
respiration	respiration
responsabilité	liability
responsabilité de la pollution	pollution liability
responsabilité du producteur	producer liability
responsabilité gouvernementale	government liability
responsabilité personnelle	personal responsibility
responsabilité pénale	criminal liability
responsabilité écologique	environmental liability
ressource animale	animal resource
ressource biologique	biological resource
ressource climatique	climate resource
ressource en eau	water resource
ressource en eau douce	freshwater resource
ressource forestière	forest resource
ressource génétique	genetic resource
ressource halieutique	fishery resource
ressource minérale	mineral resource
ressource naturelle	natural resource
ressource non renouvelable	non-renewable resource
ressource renouvelable	renewable resource
ressource végétale	plant resource
ressource énergétique	energy resource
ressources	resource ; resources
ressources fluviales	fluvial resource
restauration après catastrophe	disaster cleanup operation
restauration de bâtiment	building restoration
restauration de la flore	flora restoration
restauration de la vie sauvage	fauna restoration
restauration de terrain	land restoration
restauration de terrain en montagne	land restoration in mountain areas
retenue d'eau	retaining reservoir
retombée	fallout
retombée (substances chimiques)	chemical fallout
retombée acide	acid deposition
retombée atmosphérique	atmospheric fallout
retombée des polluants	pollutant deposition
retombée radioactive	radioactive fallout
retombée sèche	dry deposition
retraitement du combustible irradié	reprocessing
revendiquer	assert
revenu	income
revêtement	coating
revêtement d'étanchéité	liner material
rhinocéros	rhino ; rhinoceros
rhodium	rhodium
rhénium	rhenium
richesse naturelle	natural value
rinçage	flushing
rire	laugh
risque chimique	chemical risk
risque de cancer	cancer risk
risque de pollution	pollution risk
risque dû aux polluants	hazard of pollutants
risque majeur	major risk
risque naturel	natural hazard
risque naturel	natural risk
risque nucléaire	nuclear risk
risque pour l'environnement	environmental risk
risque pour la santé	health hazard
risque pour les eaux souterraines	groundwater endangering
risque résiduel	residual risk
risque écologique pour la santé	environmental health hazard
riz	rice
riz ; grain de riz ; grain de riz	rice
robe	dress
roche	rock
roentgenium	roentgenium
roman	novel
rongeur	rodent
rosaire	rosary
rose	rose
roseau	reed
rotation des cultures	crop rotation
rouge à lèvres	lipstick
roumain	Romanian ; Romanaian
route	road
route d'accès	access road
rubidium	rubidium
rubis	ruby
ruisseau	brook
russe	Russian ; Russian
rusé	artful
rutherfordium	rutherfordium
ruthénium	ruthenium
règle de compensation àl'intérieur d'un groupe (permis d'émissions)	netting policy (emissions trading) ; netting policy
règle générale	common agreement
règle politique	policy guideline
règlement	regulation
règlement (CEE) en matière de management environnemental et d'audit ; règlement CEE en matière de management environnemental et d'audit	EC regulation on eco-management and audit
règlement (CEE) en matière de substances chimiques existantes	EC regulation on existing chemicals
règlement de la CE	EC regulation
règlement judiciaire	judiciary rule
règlement municipal	municipal law
règlement régional	regional regulation
règlement sur les mines	mining regulation
règlement sur les valeurs maximales admissibles	regulation on maximum permissible limits
règles de prévention incendies	fire safety requirement
réacteur	reactor
réacteur nucléaire	nuclear reactor
réactif photochimique	photochemical agent
réaction chimique	chemical reaction
réaction nucléaire	nuclear reaction
réaction photochimique	photochemical reaction
réchauffement mondial ; réchauffement climatique ; réchauffement planétaire ; réchauffement global	global warming
récif	reef
récif barrière	barrier reef
récif corallien	coral reef
récipient à usage unique	non-returnable container
récolte	harvest
récréation	recreation
récupération des résidus de pétrole	oil residue recuperation
réduction (chimie)	chemical reduction
réduction d'émission	emission reduction
réduction de la pollution	pollution abatement
réduction de la pollution par le pétrole	oil pollution abatement
réduction de la surface boisée	forest cover destruction
réduction des coûts	cost reduction
réduction du bruit	noise reduction
réflexion	reflection
réfrigérant	refrigerant
réfrigérateur	refrigerator
réfrigérateur	refrigerator ; fridge
réfrigération	refrigeration
réfugié	refugee
référendum	referendum ; plebiscite
régime d'écoulement	discharge regime
régime foncier	land use regime
régime hydrologique	hydrologic flow
région	region
région polaire	polar region
région économique	economic region
régions biogéographiques	biogeographical region
réglementation de la production agricole	regulation of agricultural production
réglementation de la protection de l'environnement	environmental protection regulation
réglementation de sécurité au travail	occupational safety regulation
réglementation des matières dangereuses	dangerous goods regulation
réglementation douanière	customs regulation
réglementation du bâtiment	building regulation
réglementation juridique	legal regulation
réglementation parasismique	antiseismic regulation
réglementation sanitaire	health regulation
réglementation souple de la protection de l'environnement	flexible approach to environmental protection
réglementation sur la ferraille électronique	electronic scrap regulation
régulation des naissances	birth control
régénération	regeneration
régénération naturelle	natural regeneration
réhabilitation	återställande ; rehabilitation
réhabilitation du logement	installation restoration
réintroduction	reintroduction
réintroduction d'espèces animales	animal species reintroduction
réintroduction d'espèces végétales	plant species reintroduction
réparation des dommages	compensation for damage
répartition géographique de la population	geographical distribution of population
répertorier les substances	recording of substances
répression	repression
réseau d'information	information network
réseau d'information sur l'environnement	environmental information network
réseau d'irrigation	irrigation system
réseau de biotope	biotope network
réseau de canalisation combiné	combined sewer system
réseau de drainage	drainage system
réseau de mesure	monitoring network
réseau ferroviaire	railway network
réseau gazier	gas network
réseau hydrographique	hydrographic network
réseau routier	road network
réseau électronique d'information	electronic information network
réserve	reserve
réserve anthropologique	anthropologic reserve
réserve biologique	biological reserve ; wildlife reserve
réserve biologique forestière	forest biological reserve
réserve de biosphère	biosphere reserve
réserve de chasse	hunting reserve
réserve de pêche	fishing preserve
réserve de ressources	resource reserve
réserve forestière	forest reserve
réserve marine	marine reserve
réserve nationale de pêche	national fishing reserve
réserve naturelle	nature reserve
réserve naturelle européenne	European nature reserve
réserve naturelle intégrale	integral natural reserve
réserve pour animaux	animal conservatory
réservoir d'eau	water reservoir
réservoir à gaz	gas reservoir
résidu d'incinération	incineration residue
résidu de broyage	residue of grinding
résidu de combustion	combustion residue
résidu de pesticide	residual pesticide
résine	resin
résineux	resinous plant
résistance (biologique) ; résistance	resistance (biological) ; resistance
résolution	resolution
résolution ; résolution (paramètres)	resolution ; resolution (parameter)
résorption	resorption
rétablissement de l'état naturel	renaturation
rétablissement du paysage	recovery of landscape
rétombée atmosphérique	deposition
réveil ; réveille-matin	alarm clock
révolution verte	green revolution
rêver	dream
s'occuper de	attend
sable	sand
sacrifice	sacrifice
sahara ; Sahara ; désert du Sahara	sahara
saisie	foreclosure
saison	season
salade ; laitue	lettuce
salaire	salary
salamandre	salamander
salissure	fouling growth
salle de bal	ballroom
samarium	samarium
samedi	Saturday
sanction administrative	administrative sanction
sanctions pour atteinte à l'environnement	penalty for environmental damage
sang	blood
sanskrit	Sanskrit ; Sanskrit
santé	health
santé humaine	human health
santé publique	public health
saphir	sapphire
sardine	sardine
satellite	satellite
satellite	artificial satellite
satellite d'observation	observation satellite
saule	willow
saumon	salmon
sauterelle	grasshopper
sauvegarde de l'environnement	environmental conservation
savon	soap
saxophone	saxophone
scandium	scandium
scanner à spectres multiples	multispectral scanner
schéma régional	regional plan
science	science
science appliquée	applied science
science de l'atmosphère	atmospheric science
science et technologie alimentaire	food science
science exacte	exact science
science médicale	medical science
science physique	physical science
science économique	economic science ; economics
sciences de l'environnement	environmental science
sciences de la terre	earth science
sciences de la vie	life science
sciences des matériaux	materials science
sciences du comportement	behavioural science
sciences du sol	soil science
sciences humaines	human science
sciences naturelles	natural science
sciences sociales	social science
scientifique	scientist
sciure	sawdust
scorie	slag
sculpteur	sculptor
scène	stage
seaborgium	seaborgium
sec ; sèche	dry
secours d'urgence	emergency relief
secours en cas de catastrophe	disaster relief
secret	secret
secteur d'activité	branch of activity
secteur des marchés publics	public procurement
secteur des produits manufacturés	manufacturing trade
secteur primaire	primary sector
secteur privé	private sector
secteur public	public sector
secteur tertiaire	tertiary sector
secteur économique	economic sector
sel ; sel de table ; sel alimentaire ; sel de cuisine	salt
sel d'épandage	road salt
sels	salt
semaine	week
semence	seed
semi-conducteur	semiconductor
sensibilisation du public	public awareness campaign
sentier	path
sentier de randonnée	hiking trail
sentier pedestre	footpath
sentier pédagogique	educational path
sentiment de la nature	feeling for nature
septembre	September
serbe	Serbian ; Serbian
seringue	syringe
serpent	snake
serveur	server
service d'incendie	fire service
service d'information	information service
service d'inspection	inspection service
service de bibliothèque	library service
service de la dette	debt service
service de médecine du travail	occupational health care
service de nettoiement	cleansing department
service de prévention des risques	disaster control service
service de recherche sur CD-ROM	CD-ROM search service
service de recherche sur Internet	internet search service
service de référence	reference service
service de santé	health service
service de secours	rescue service
service en ligne	on-line service
service municipal de nettoyage	municipal cleansing service
serviette	napkin
servitude	easement
sexe ; genre	sex ; gender
sexologie	sexology
sextant	sextant
sexualité orale ; sexe oral	oral sex
sicilien	Sicilian ; Sicilian
sierain	nostril
silex	flint ; flintstone
silicium	silicon
simulation	simulation
sindhi	Sindhi ; Sindhi
site abandonné	abandoned industrial site
site ancien dangereux	old hazardous site
site archéologique	archaeological site
site de patrimoine mondial	world heritage site
site historique	historical site
site industriel	industrial site
site industriel	location of industries
site inscrit	registered site
site naturel	natural scenery
site naturel protégé	protected landscape
site pollué	polluted site
situation de famille	marital status
situation économique	economic situation
skier ; ski	skiing
slovaque	Slovak ; Slovak
slovène	Slovene ; Slovenian ; Slovenian
smog	smog
smog photochimique	photochemical smog
sociolinguistique	sociolinguistics ; sociology of language
sociologie	sociology
société	society
société ; société (organisme)	organisation (law)
société de conseil	consultancy
société industrielle	industrial society
sodium	sodium
soie	silk
soif	thirst
soigner	attend
soins de santé	health care
sol	soil
sol alcalin	alkali soil
sol contaminé	contaminated soil
solubilité	solubility
solvant	solvent
solvant organique	organic solvent
somali	Somali ; somali
son	sound
sondage d'opinion	public opinion polling
sondage d'opinion	opinion survey
sonorité	loudness
sorcier ; magicien ; mage	wizard ; sorcerer ; magician
sorcière	witch
sorption	sorption
soudage	welding
soudain	sudden ; abrupt ; precipitous
soufre	sulphur
source	spring ; spring (hydrology, land)
source (d'émissions) ponctuelle	point source
source d'accident	accident source ; cause of the accident
source d'information	information source
source d'émission	emission source
source d'énergie	energy source
source d'énergie non polluante	non-polluting energy source
source d'énergie non renouvelable	non-renewable energy resource
source d'énergie renouvelable	renewable energy source
source de pollution diffuse	diffuse source
source linéaire (de pollution)	line source
source linéaire de son	linear source of sound
source plane (d'émissions)	plane source
sources d'immission	impact source
sourcil	eyebrow
sourd	deaf
sourire	smile
souris	mouse
sous-estimation agricole	agricultural undervaluation
sous-marin	submarine
sous-produit	by-product
sous-sol	basement
soutien économique	economic support
spectre de bruit	noise spectrum
sphinx	sphinx
sport	sport
squelette	skeleton
station d'épuration	purification plant
station de montagne	mountain resort
station de référence de surveillance	baseline monitoring
station de surveillance	monitoring station
station-service	filling station
statistiques	statistics
statistiques de l'environnement	environmental statistics
statistiques de la production industrielle	industrial production statistics
statistiques régionales	regional statistics
statut professionnel	occupational status
stock de poisson	fish stock
stockage d'énergie	energy storage
stockage de chaleur	heat storage
stockage des aliments	food storage
stockage des produits agricoles	agricultural storage
stockage final	final storage
stratification atmosphérique	atmospheric layering
stratégie de minimisation des coûts	minimal cost planning
stratégie de recyclage	recovery plan
stratégique	strategic
stress	stress
stress psychologique	psychological stress
strontium	strontium
structure agricole	agricultural structure
structure atmosphérique	atmospheric structure
structure bâtie	built structure
structure chimique	chemical structure
structure de l'emploi	employment structure
structure de l'entreprise	company structure
structure de la population	population structure
structure industrielle	industrial structure
structure institutionnelle	institutional structure
structure régionale	regional structure
structure économique	economic structure
stupéfiant	astounding
stupéfier	astound
stérilisation	sterilisation
stéroïde	steroid
substance aromatique	aromatic substance
substance biochimique	biochemical substance
substance chimique	chemical
substance corrosive	etching substance
substance dangereuse pour l'environnement	environmentally dangerous substance
substance dangereuse à manipuler	hazardous working material
substance fonctionnelle	functional substance
substance inflammable	inflammable substance
substance inorganique	inorganic substance
substance insoluble	insoluble substance
substance lipophile	lipophilic substance
substance non volatile	non-volatile substance
substance organique	organic substance
substance radioactive	radioactive substance
substance toxique	toxic substance
substance volatile	volatile substance
substances mutagènes	mutagen
substitut du phosphate	phosphate substitute
substitution	replacement
subvention	subsidy
sucre	sugar
suicide	suicide
suie	soot
sujet ; thème	subject ; topic
sulfure d'hydrogène	hydrogen sulphide
summata ; additionner	add
supermarché	supermarket
supernova	supernova
support de données	data carrier
supposition	assumption ; supposition
surcharge	overburden
sureau	elder ; elderberry
surexploitation	overexploitation
surfertilisation	overfertilisation
surgénérateur	fast reactor
surpopulation	overpopulation
surpâturage	overgrazing
surpêche	overfishing
surveillance	monitoring
surveillance biologique	biological monitoring
surveillance de l'atmosphère	atmospheric monitoring
surveillance de l'environnement	environmental monitoring
surveillance de la pollution	pollution monitoring
surveillance des polluants	pollutant monitoring
surveillance du milieu marin	marine monitoring
surélever un site	raising a site
suédois	Swedish
swahili	Swahili
sylviculture	forestry
symbiose	symbiosis
symphonie	symphony
symptôme clinique	clinical symptom
synagogue	synagogue
syndicat	trades union
syndrome	syndrome
syndrome de Down	Down syndrome ; Down’s syndrome
syndrome de l'immeuble insalubre	building related illness ; sick building syndrome
syntaxe	syntax
synécologie	synecology
syphilis	syphilis
système auditif	hearing system
système cardiovasculaire	cardiovascular system
système d'aide à la décision	decision-support system
système d'alerte rapide	early warning system
système d'information	information system
système d'information géographique	geographic information system
système d'information sur l'environnement	environmental information system
système d'informations de référence	referral information system
système de canalisation des eaux de pluie	rain water sewer system
système de communication	communications system
système de comptabilité	accounting system
système de coordonnées	co-ordinate system
système de culture	cultivation system
système de distribution énergétique	energy distribution system
système de drainage bâti	built drainage system
système de protection	protection system
système de renseignements bibliographiques	bibliographic information system
système de secours	rescue system
système documentaire	documentary system
système endocrinien	endocrine system
système expert	expert system
système gastro-intestinal	gastrointestinal tract ; alimentary canal
système immunitaire	immune system
système informatique	data processing system
système judiciaire	legal system
système lymphatique	lymphatic system
système monétaire européen	European Monetary System ; EMS
système municipal de distribution de l'eau	municipal water distribution system
système musculaire	muscular system
système nerveux	nervous system
système numérique SIG	GIS digital system
système numérique de traitement d'images	image processing digital system
système respiratoire	respiratory system
système économique	economic system
système éducatif	educational system
séchage	drying
sécheresse	drought
sécurité	safety ; security
sécurité aérienne	air safety
sécurité civile	civil safety
sécurité du travail	occupational safety
sécurité industrielle	industrial safety
sécurité internationale	international safety
sécurité nucléaire	nuclear safety
sécurité écologique	environmental security
sédiment	sediment
sédimentation	sedimentation (geology) ; sedimentation
sédimentologie	sedimentology
séduisant	atractive
séisme ; tremblement de terre	earthquake
sélection des plantes	plant breeding
sélénium	selenium
sémantique	semantics
séparateur	separator
séparateur de particules	particle separator
sûreté des réacteurs	reactor safety
tabac	tobacco
tabagisme	smoking
table	table
tableau périodique ; tableau périodique des éléments	periodic table
tableau électronique d'affichage et d'information	BBS ; bulletin board system
tablier	apron
tadjik	Tajik
tagalog	Tagalog
tailleur	tailor
taillis	coppice
taillis sous futaie	coppice with standards
talus	excavation side
tamia	chipmunk
tamoul	Tamil ; Tamil
tannin	tannin
tantale	tantalum
tapis	carpet
tarif douanier	customs tariff
tas de déblai	excavation heap
tatar	Tatar ; Tatar
taux	rate
taux de plomb dans le sang	lead level in blood
taxe	tax
taxe compensatoire	compensatory tax
taxe foncière	land tax
taxe parafiscale	exceptional tax
taxe sur le bruit	noise emission levy
taxe sur le dioxyde de carbone	carbon dioxide tax
taxonomie	taxonomy
tchouvache	Chuvash ; Chuvash ; Chuwash ; Chovash ; Chavash ; Chttash
tchèque	Czech ; Czech
tchétchène	Chechen ; Chechen
technique culturale	farming technique
technique d'enregistrement des données	data recording technique
technique d'élevage	breeding technique
technique de gestion	management technique
technique de laboratoire	laboratory technique ; laboratory techniques
technique de propulsion	propulsion technique
technique de surveillance	monitoring technique
technique de traitement numérique des images	digital image processing technique
technique digitale SIG	GIS digital technique
technologie	technology
technologie "end-of-pipe"	end-of-pipe technology
technologie "propre"	alternative technology
technologie alimentaire	food technology
technologie appropriée	appropriate technology
technologie de  lutte contre la pollution	pollution control technology
technologie de base	low-level technology
technologie de l'ADN recombinant	recombinant DNA technology
technologie de l'environnement	environmental technology
technologie de l'information	information technology ; IT
technologie de l'énergie solaire	solar energy technology
technologie de protection de l'environnement	environmental protection technology
technologie de protection environnementale intégrée	integrated environmental protection technology
technologie des processus	process technology
technologie du bâtiment	building technology
technologie du bâtiment	construction technology
technologie du charbon	coal technology
technologie du plasma	plasma technology
technologie indigène	indigenous technology
technologie multimédia	multimedia technology
technologie propre	clean technology
technologie silencieuse	noise-free technology
technologie énergétique	energy technology
technétium	technetium
teinture	dye
tellure	tellurium
temps	weather
temps ; temps (durée)	time
temps libre	leisure time
température	temperature
température de l'air	air temperature
température de l'océan	ocean temperature
tempête	storm ; tempest
teneur en aluminium	aluminium content
teneur en calcium	calcium content
teneur en nutriments	nutrient content
teneur en oxygène	oxygen content
tennis	tennis
tension ; voltage	voltage
tension de vapeur	vapour pressure
tension superficielle	surface tension
terbium	terbium
terminologie	terminology
terminologie de l'environnement	environmental terminology
termites	termite
terrain de déblayement	excavation site
terrain militaire désaffecté	disused military site
terre ; Terre	earth ; Earth ; the world ; Blue Planet
terre agricole	agricultural land
terre aride	arid land
terre cuite ; terrecotta	terracotta ; terracotta ; terracotta ; terra cotta
terre décolorante	bleaching clay
terres marginales	marginal land
terreux	ashen
territoire	land
territoire	territory
terrorisme	terrorism
terroriste	terrorist
test ; tester	test
test aléatoire	random test
test biologique	biological test
test climatique	climatic experiment
test comparatif	comparative test
test de Ames	Ames test
test de cancérigénicité	carcinogenicity test
test de laboratoire	laboratory test
test de mutagénicité	mutagenicity testing
test immunologique	immunoassay
test in vitro	in vitro assay
test in vivo	in vivo assay
test rapide	rapid test
testostérone	testosterone
texte juridique	legal text
thallium	thallium
thaï ; thaïlandais	Thai ; Thai
thermodynamique	thermodynamics
thon	tunafish
thorium	thorium
thulium	thulium
thyroïde	thyroid
thèse	thesis
thé	tea
théocratie	theocracy
théologie	theology
théorie du chaos	chaos theory
théorie économique	economic theory
thérapie	therapy
tigre	tiger
tissu	fabric
tissu	tissue
titane	titanium
toile d'araignée	cobweb
toile d'araignée ; fil d'araignée	web ; spider web
toit ; toit ; toit	roof ; roof ; roof
tolérance de charge (eau)	load bearing capacity
tomate	tomato
tonnerre	thunder
topographie	topography
topologie	topology
tornade	tornado
torpille	torpedo
tortue terrestre	tortoise
toujours	anytime
toundra	tundra
tour Eiffel	Eiffel Tower
tour de refroidissement	cooling tower
tourbe	peat
tourbière	bog
tourisme	tourism
tourisme rural	agritourism
tournevis	screwdriver
toxicité	toxicity
toxicité des poissons	fish toxicity
toxicologie	toxicology
toxine	toxin
traceur radioactif	radioactive tracer
trachéophyte	tracheophyte ; vascular plant
tradition populaire	folk tradition
traditionnel	traditional
traduction	translation
traduire ; interpréter	translate ; interpret
trafic	traffic
trafic aérien	air traffic
trafic aérien militaire	military air traffic
trafic commercial	commercial traffic
trafic ferroviaire	rail traffic
trafic local	local traffic
trafic voyageurs à courte distance	local passenger service
trafic à grande distance	long-distance traffic
trafic à grande vitesse	fast traffic
train	train
train interurbain rapide	rapid transit train
train à grande vitesse ; TGV	high-speed train
trait ; characteristique	characteristic
traitement	processing
traitement anaérobie	anaerobic treatment
traitement aérobie	aerobic treatment
traitement biologique	biological treatment
traitement biologique des déchets	biological waste treatment
traitement chimique	chemical treatment
traitement de l'eau	water treatment
traitement de l'eau potable	drinking water treatment
traitement de l'information	information processing
traitement des cultures	crop treatment
traitement des données	data processing
traitement des eaux usées sur site	on-site wastewater treatment
traitement physicochimique	physicochemical treatment
traitement physique	physical treatment
traitement phytosanitaire	phytosanitary treatment
traitement primaire	primary treatment
traité	treaty
traité CE	EC Treaty
trajectoire	trajectory
trame	raster
trame en vecteur	raster to vector
transfert de l'information	information transfer
transfert de technologie	technology transfer
transfert transfrontalier	boundary crossing
transpiration	transpiration
transport	transport
transport	transport ; transportation
transport alimentaire	food transport
transport aérien	air transportation
transport combiné	combined transport
transport de marchandises	freight transport
transport de marchandises lourdes	heavy goods vehicle traffic
transport de masse	mass transport
transport de matières dangereuses	dangerous materials transport
transport de voyageurs	passenger transport
transport en commun	public transport
transport ferroviaire	rail transport
transport fluvial	inland waterways transport
transport long courrier	long-distance transport
transport maritime	maritime transport
transport privé	private transport
transport terrestre	land transportation
transporteur	forwarding agent
travail	labour
travaux de construction	construction work
travaux publics	public works
trempage	soaking
triangle	triangle
tribunal	court
trigonométrie	trigonometry
tritium	tritium
trois	three
trolleybus	trolley bus ; trolleybus
trombone	trombone
trompette	trumpet
trophée	trophy
tropiques	tropics ; torrid zone
trouble de l'audition	hearing impairment
trouble du sommeil	sleep disturbance
truite	trout
tswana	Tswana
tulipe	tulip
tungstène	tungsten
tunnel	tunnel
turbidité	turbidity
turbine	turbine
turc	Turkish ; Turkish
tuyau ; conduit	pipe
type d'entreprise	business classification
type d'écosystème	ecosystem type
type d'énergie	energy type
type de climat	climate type
type de document	document type
type de pollution	pollution type
typhon	typhoon
télougou	Telugu ; Telugu
télé ; télévision	television
télécommunication	telecommunications ; telecommunication
télédétection	remote sensing
télémétrie	telemetry
téléphone	phone ; telephone
télévision	television
témoin	witness
têtard	tadpole ; polliwog
tête	head
tôt	early
ukrainien	Ukrainian ; Ukrainian
un	one
un moment	awhile
université ; université ; académie	university ; university ; academy
ununbium	ununbium
ununhexium	ununhexium
ununoctium	ununoctium
ununpentium	ununpentium
ununquadium	ununquadium
ununseptium	ununseptium
ununtrium	ununtrium
uranium	uranium
uranium enrichi	enriched uranium
urbanisation	urbanisation
urine	urine
usage de l'énergie nucléaire	nuclear energy use
usage incompatible	conflicting use
usine chimique	chemical plant
usine de déssalement	desalination plant
usine à gaz	gaswork
usurper	usurp
utile	useful
utilisateur	user
utilisation de l'énergie	energy utilisation ; energy use
utilisation des ressources	resource utilisation
utilisation des ressources locales	local resource utilisation
utilisation du paysage	landscape utilisation
vaccination	vaccination
vache	cow
valeur agronomique	agronomic value
valeur de la terre	land value
valeur des composés organo-halogénés adsorbables	AOX value
valeur limite	limit value
valeur nutritive	nutritive value of food
vallée	valley
vampire	vampire
vanadium	vanadium
vandalisme	vandalism
variation génétique	genetic variation
variole	smallpox
vase	mud
vasière	mud flat
vecteur	vector
vendre	sell
vendredi	Friday
venir	come
vent	wind
ventilation	ventilation
verbe	verb
verglas	glaze
verre	glass
vertébré	vertebrate
viabilisation	building site preparation
viabilité économique	economic viability
viande	meat
vibration mécanique	mechanical vibration
victoire à la Pyrrhus	Pyrrhic victory
vidange de barrage	dam draining
vide	empty
vie institutionnelle	institutional activity
vietnamien	Vietnamese ; Vietnamese
vignoble ; vigne	vineyard
village	village
ville	city
vin	wine
vinaigre	vinegar
vinasse	vinasse
virologie	virology
virus	virus
vis ; vis de fixation	screw
viscosité	viscosity
vitamine	vitamin
vitesse	speed
vocabulaire	vocabulary
voie ferrée ; chemin de fer	railway
voie ferrée à grande vitesse	high-speed railway
voir	see
voisin	neighbour ; vecino
voiture propre	clean air car
vol spatial	space travel
vol à basse altitude	low-level flight
volaille	poultry
volapük	Volapük
volatilité	volatility
volcan	volcano
volcanisme	volcanism
voler	bag ; pocket ; steal
volière	aviary
volley-ball	volleyball
vote	voting
vous	y'all ; you ; you lot ; yous
voyage en période creuse	off-peak travelling
voyager	travel
voyelle	vowel
vulcanisation	vulcanisation
véhicule	vehicle
véhicule abandonné	abandoned vehicle ; car wreck
véhicule commercial	commercial vehicle
véhicule de collecte des ordures	refuse collection vehicle
véhicule de transport en commun	public transport vehicle
véhicule ferroviaire ; wagon	railroad vehicle ; carriage ; wagon
véhicule personnel	private car
véhicule tout terrain	all-terrain vehicle
véhicule à moteur	motor vehicle
véhicule électrique	electric vehicle
vélomoteur ; motocyclette ; moto	motorcycle ; motorbike
vérité	truth
vésicule biliaire ; cholécyste	gallbladder
vétéran	veteran
vétérinaire	veterinarian ; veterinary
vétérinaire	veterinarian
vêtir	attire
wallon	Walloon ; Walloon
water polo	water polo
weekend	weekend
wiki	wiki
xhosa	Xhosa
xylophone	xylophone
xénon	xenon
yacht	yacht
yak	yak
yiddish	Yiddish
ytterbium	ytterbium
yttrium	yttrium
zinc	zinc
zirconium	zirconium
zodiaque	zodiac
zonage industriel	industrial zoning
zone	distribution area
zone centrale de parc	central park area
zone climatique	climatic zone
zone constructible	building land
zone construite	building area
zone côtière	coastal area
zone d'air pur	clean air area
zone d'aménagement mixte	mixed use area
zone d'intervention foncière	land-management intervention area
zone de captage d'eau potable	drinking water protection area
zone de chasse contrôlée	controlled hunting zone
zone de développement	development area
zone de montagne	mountainous area
zone de pollution potentielle	area of potential pollution
zone de protection du paysage	landscape protection area
zone de préemption	pre-emption zone
zone de pêche	fishing ground
zone de refuge	refuge
zone en friche	fallow area
zone industrielle	industrial area
zone intertidale	intertidal zone
zone marine protégée	protected marine zone
zone militaire	military zone
zone méditerranéenne	Mediterranean Area
zone peu construite	non-built-up area
zone piétonnière ; zone piétonne ; zone pour piétons ; plateau piétonnier	pedestrian zone ; pedestrian area ; car-free zone ; auto-free zone ; pedestrianised zone
zone préservée de l'estuaire	estuarine conservation area
zone périphérique de parc	peripheral park area
zone résidentielle	residential area
zone sensible (écologie)	ecologically sensitive area
zone sinistrée	disaster zone
zone sous tension (environnementale)	area under stress
zone à risque	hazard area
zoologie	zoology
zoonose	zoonosis
zoulou	Zulu
zèbre	zebra
zéro	zero ; null
Écosse	Scotland
Égypte	Egypt ; Arab Republic of Egypt
Émirats Arabes Unis	United Arab Emirates
Épiphanie	Epiphany
Équateur	Ecuador ; Republic of Ecuador
Érythrée	Eritrea
État de la Cité du Vatican ; Vatican ; Saint-Siège	Vatican City ; The Holy See ; State of the Vatican City
États-Unis d'Amérique ; États-Unis	United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States
Éthiopie	Ethiopia ; Federal Democratic Republic of Ethiopia
Île Bouvet	Bouvet Island
Île Christmas	Christmas Island
Îles Baléares ; Iles Baléares ; Baléares	Balearic Islands
Îles Caïmanes	Cayman Islands
Îles Cook	Cook Islands
Îles Féroé	Faroe Islands
Îles Marshall	Marshall Islands ; Republic of the Marshall Islands
Îles Salomon	Solomon Islands
